Id,DeltaTime[ns],0:UART: RX/TX
340,9950.00,00
341,9950.00,00
342,9900.00,F6
343,49471700.00,FF
344,10950.00,FF
345,10950.00,07
346,11000.00,04
347,10950.00,02
348,10950.00,38
349,118600.00,11
350,183300.00,A9
351,44950.00,FF
352,9950.00,FF
353,9900.00,07
354,9950.00,13
355,9900.00,00
356,9950.00,A5
357,9950.00,08
358,9950.00,00
359,9900.00,00
360,9950.00,00
361,9950.00,00
362,9900.00,7A
363,9950.00,1F
364,9950.00,00
365,9900.00,00
366,9950.00,00
367,9950.00,A5
368,9950.00,08
369,9900.00,00
370,9950.00,00
371,9950.00,00
372,9900.00,00
373,9950.00,F2
374,49258450.00,FF
375,10950.00,FF
376,11000.00,07
377,10950.00,04
378,10950.00,02
379,11000.00,38
380,79800.00,11
381,111650.00,A9
382,45650.00,FF
383,9950.00,FF
384,9900.00,07
385,9950.00,13
386,9900.00,00
387,9950.00,A5
388,9950.00,08
389,9900.00,00
390,9950.00,00
391,9950.00,00
392,9900.00,00
393,9950.00,7A
394,9950.00,1F
395,9900.00,00
396,9950.00,00
397,9950.00,00
398,9900.00,A5
399,9950.00,08
400,9950.00,00
401,9900.00,00
402,9950.00,00
403,9950.00,00
404,9900.00,F2
405,49869250.00,FF
406,10950.00,FF
407,10950.00,07
408,11000.00,04
409,10950.00,02
410,10950.00,38
411,81750.00,11
412,104650.00,A9
413,42450.00,FF
414,9900.00,FF
415,9950.00,07
416,9900.00,13
417,9950.00,00
418,9950.00,A5
419,9900.00,08
420,9950.00,00
421,9900.00,00
422,9950.00,00
423,9950.00,00
424,9900.00,7A
425,9950.00,1F
426,9950.00,00
427,9900.00,00
428,9950.00,00
429,9950.00,A5
430,9900.00,08
431,9950.00,00
432,9950.00,00
433,9900.00,00
434,9950.00,00
435,9900.00,F2
436,49462600.00,FF
437,10950.00,FF
438,10950.00,07
439,10950.00,04
440,11000.00,02
441,10950.00,38
442,100650.00,11
443,131550.00,A9
444,46200.00,FF
445,9950.00,FF
446,9900.00,07
447,9950.00,13
448,9900.00,00
449,9950.00,A5
450,9950.00,08
451,9900.00,00
452,9950.00,00
453,9950.00,00
454,9900.00,00
455,9950.00,7A
456,9950.00,1F
457,9900.00,00
458,9950.00,00
459,9900.00,00
460,9950.00,A5
461,9950.00,08
462,9900.00,00
463,9950.00,00
464,9950.00,00
465,9900.00,00
466,9950.00,F2
467,49436550.00,FF
468,10950.00,FF
469,10950.00,07
470,10950.00,04
471,11000.00,02
472,10950.00,38
473,108600.00,11
474,104550.00,A9
475,45800.00,FF
476,9950.00,FF
477,9950.00,07
478,9900.00,13
479,9950.00,00
480,9900.00,A5
481,9950.00,08
482,9950.00,00
483,9900.00,00
484,9950.00,00
485,9950.00,00
486,9900.00,7A
487,9950.00,1F
488,9950.00,00
489,9900.00,00
490,9950.00,00
491,9950.00,A5
492,9900.00,08
493,9950.00,00
494,9950.00,00
495,9900.00,00
496,9950.00,00
497,9950.00,F2
498,49126850.00,FF
499,10950.00,FF
500,10950.00,07
501,11000.00,04
502,10950.00,02
503,10950.00,38
504,97700.00,11
505,108650.00,A9
