Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
599,FF,FF,25350.00,43300.00,17950.00,1
600,FF,FF,9850.00,9950.00,100.00,1
601,02,0D,9900.00,9950.00,50.00,0
602,13,13,9850.00,9950.00,100.00,1
603,00,00,9900.00,10000.00,100.00,1
604,02,CC,9900.00,9950.00,50.00,0
605,00,08,9900.00,9950.00,50.00,0
606,00,00,9850.00,10000.00,150.00,1
607,80,00,9900.00,9950.00,50.00,0
608,04,00,9900.00,9950.00,50.00,0
609,00,00,9850.00,9950.00,100.00,1
610,78,7A,9900.00,10000.00,100.00,0
611,00,19,9900.00,9950.00,50.00,0
612,00,00,9850.00,10000.00,150.00,1
613,00,00,9900.00,9950.00,50.00,1
614,00,00,9900.00,9950.00,50.00,1
615,01,CC,9850.00,9950.00,100.00,0
616,00,08,9900.00,10000.00,100.00,0
617,00,00,9900.00,9950.00,50.00,1
618,00,00,9900.00,9950.00,50.00,1
619,00,00,9850.00,10000.00,150.00,1
620,00,00,9900.00,9950.00,50.00,1
621,EB,A4,9900.00,9950.00,50.00,0
