Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
99,38,38,10950.00,11000.00,50.00,1
100,11,11,11950.00,70700.00,58750.00,1
101,AE,A3,53800.00,62800.00,9000.00,0
102,FF,FF,26500.00,45750.00,19250.00,1
103,FF,FF,9900.00,9950.00,50.00,1
104,02,0D,9850.00,9950.00,100.00,0
105,13,13,9900.00,10000.00,100.00,1
106,00,00,9900.00,9950.00,50.00,1
107,02,CC,9850.00,9950.00,100.00,0
108,00,08,9900.00,10000.00,100.00,0
109,00,00,9900.00,9950.00,50.00,1
110,80,00,9900.00,9950.00,50.00,0
111,00,00,9850.00,9950.00,100.00,1
112,04,00,9900.00,10000.00,100.00,0
113,78,7A,9900.00,9950.00,50.00,0
114,00,19,9850.00,9950.00,100.00,0
115,00,00,9900.00,10000.00,100.00,1
116,00,00,9900.00,9950.00,50.00,1
117,00,00,9900.00,9950.00,50.00,1
118,01,CC,9850.00,10000.00,150.00,0
119,00,08,9900.00,9950.00,50.00,0
120,00,00,9900.00,9950.00,50.00,1
121,00,00,9900.00,10000.00,100.00,1
122,00,00,9850.00,9950.00,100.00,1
123,00,00,9900.00,9950.00,50.00,1
124,EB,A4,9900.00,9950.00,50.00,0
125,FF,FF,50549000.00,48799300.00,-1749700.00,1
126,FF,FF,10950.00,10950.00,0.00,1
127,02,0D,11000.00,11000.00,0.00,0
128,04,04,10950.00,10950.00,0.00,1
129,02,02,10950.00,10950.00,0.00,1
130,38,38,11000.00,10950.00,-50.00,1
131,11,11,172400.00,77750.00,-94650.00,1
132,AE,A3,62750.00,72800.00,10050.00,0
133,FF,FF,26000.00,45950.00,19950.00,1
134,FF,FF,9850.00,9950.00,100.00,1
135,02,0D,9900.00,9950.00,50.00,0
136,13,13,9900.00,10000.00,100.00,1
137,00,00,9850.00,9950.00,100.00,1
138,02,CC,9900.00,9950.00,50.00,0
139,00,08,9900.00,9950.00,50.00,0
140,00,00,9900.00,10000.00,100.00,1
141,80,00,9850.00,9950.00,100.00,0
142,00,00,9900.00,9950.00,50.00,1
143,00,00,9900.00,10000.00,100.00,1
144,78,7A,9900.00,9950.00,50.00,0
145,00,19,9850.00,9950.00,100.00,0
146,00,00,9900.00,9950.00,50.00,1
147,00,00,9900.00,10000.00,100.00,1
148,00,00,9900.00,9950.00,50.00,1
149,01,CC,9850.00,9950.00,100.00,0
150,00,08,9900.00,9950.00,50.00,0
151,00,00,9900.00,10000.00,100.00,1
152,00,00,9850.00,9950.00,100.00,1
153,00,00,9900.00,9950.00,50.00,1
154,00,00,9900.00,10000.00,100.00,1
155,EF,A4,9900.00,9950.00,50.00,0
156,FF,FF,49274200.00,49666250.00,392050.00,1
157,FF,FF,10950.00,10950.00,0.00,1
158,02,0D,10950.00,11000.00,50.00,0
159,04,04,10950.00,10950.00,0.00,1
160,02,02,11000.00,10950.00,-50.00,1
161,38,38,10950.00,11000.00,50.00,1
162,11,11,34850.00,57800.00,22950.00,1
163,AE,A3,66750.00,73750.00,7000.00,0
164,FF,FF,27750.00,44300.00,16550.00,1
165,FF,FF,9900.00,9950.00,50.00,1
166,02,0D,9900.00,9950.00,50.00,0
167,13,13,9850.00,10000.00,150.00,1
168,00,00,9900.00,9950.00,50.00,1
169,02,CC,9900.00,9950.00,50.00,0
170,00,08,9850.00,10000.00,150.00,0
171,00,00,9900.00,9950.00,50.00,1
