Id,DeltaTime[ns],0:UART: RX/TX
345,10950.00,04
346,10950.00,02
347,10950.00,38
348,50850.00,11
349,77750.00,AE
350,57150.00,FF
351,9900.00,FF
352,9900.00,02
353,9850.00,13
354,9900.00,00
355,9850.00,02
356,9900.00,08
357,9900.00,00
358,9850.00,80
359,9900.00,03
360,9900.00,00
361,9850.00,78
362,9900.00,00
363,9900.00,00
364,9850.00,00
365,9900.00,00
366,9850.00,00
367,9900.00,08
368,9900.00,00
369,9850.00,00
370,9900.00,00
371,9850.00,00
372,9900.00,DD
373,45621750.00,FF
374,10950.00,FF
375,10950.00,02
376,10950.00,04
377,11000.00,02
378,10950.00,38
379,62750.00,11
380,122600.00,AE
381,36050.00,FF
382,9900.00,FF
383,9850.00,02
384,9900.00,13
385,9850.00,00
386,9900.00,02
387,9900.00,08
388,9850.00,00
389,9900.00,80
390,9850.00,04
391,9900.00,00
392,9900.00,78
393,9850.00,00
394,9900.00,00
395,9850.00,00
396,9900.00,00
397,9900.00,00
398,9850.00,08
399,9900.00,00
400,9900.00,00
401,9850.00,00
402,9900.00,00
403,9900.00,DC
404,29530000.00,00
405,131650.00,14
406,31945900.00,FF
407,10950.00,FF
408,10950.00,02
409,10950.00,04
410,11000.00,02
411,10950.00,38
412,39850.00,11
413,82650.00,AE
414,57200.00,FF
415,9850.00,FF
416,9900.00,02
417,9850.00,13
418,9900.00,00
419,9900.00,02
420,9850.00,08
421,9900.00,00
422,9900.00,80
423,9850.00,05
424,9900.00,00
425,9900.00,78
426,9850.00,00
427,9900.00,00
428,9900.00,00
429,9850.00,00
430,9900.00,00
431,9900.00,08
432,9850.00,00
433,9900.00,00
434,9900.00,00
435,9850.00,00
436,9900.00,DB
437,45104600.00,FF
438,10950.00,FF
439,10950.00,02
440,10950.00,04
441,11000.00,02
442,10950.00,38
443,44800.00,11
444,91650.00,AE
445,57450.00,FF
446,9900.00,FF
447,9850.00,02
448,9900.00,13
449,9850.00,00
450,9900.00,02
451,9900.00,08
452,9850.00,00
453,9900.00,80
454,9900.00,06
455,9850.00,00
456,9900.00,78
457,9900.00,00
458,9850.00,00
459,9900.00,00
460,9900.00,00
461,9850.00,00
462,9900.00,08
463,9850.00,00
464,9900.00,00
465,9900.00,00
466,9850.00,00
467,9900.00,DA
468,45761150.00,FF
469,10950.00,FF
470,10950.00,02
471,10950.00,04
472,10950.00,02
473,10950.00,38
474,57800.00,11
475,66700.00,AE
476,58050.00,FF
477,9850.00,FF
478,9900.00,02
479,9850.00,13
480,9900.00,00
481,9900.00,02
482,9850.00,08
483,9900.00,00
484,9900.00,80
485,9850.00,06
486,9900.00,00
487,9850.00,78
488,9900.00,00
489,9900.00,00
490,9850.00,00
491,9900.00,00
492,9900.00,00
493,9850.00,08
494,9900.00,00
495,9850.00,00
496,9900.00,00
497,9900.00,00
498,9850.00,DA
499,46288950.00,FF
500,10950.00,FF
501,11000.00,02
502,10950.00,04
503,10950.00,02
504,10950.00,38
505,25950.00,11
506,68700.00,AE
507,36450.00,FF
508,9850.00,FF
509,9900.00,02
510,9850.00,13
511,9900.00,00
512,9900.00,02
513,9850.00,08
514,9900.00,00
515,9850.00,80
516,9900.00,07
517,9900.00,00
518,9850.00,78
519,9900.00,00
520,9900.00,00
521,9850.00,00
522,9900.00,00
523,9850.00,00
524,9900.00,08
525,9900.00,00
526,9850.00,00
527,9900.00,00
528,9900.00,00
529,9850.00,D9
530,60148200.00,FF
531,11000.00,FF
532,10950.00,02
533,10950.00,04
534,10950.00,02
535,10950.00,38
536,13950.00,11
537,84650.00,AE
538,57700.00,FF
539,9900.00,FF
540,9850.00,02
541,9900.00,13
542,9850.00,00
543,9900.00,02
544,9900.00,08
545,9850.00,00
546,9900.00,80
547,9900.00,09
548,9850.00,00
549,9900.00,78
550,9850.00,00
551,9900.00,00
552,9900.00,00
553,9850.00,00
554,9900.00,00
555,9850.00,08
556,9900.00,00
557,9900.00,00
558,9850.00,00
559,9900.00,00
560,9850.00,D7
561,45228950.00,FF
562,10950.00,FF
