Id,DeltaTime[ns],0:UART: RX/TX
345,11000.00,04
346,10950.00,02
347,10950.00,38
348,56800.00,11
349,122600.00,AE
350,26050.00,FF
351,9900.00,FF
352,9900.00,02
353,9850.00,13
354,9900.00,00
355,9900.00,02
356,9850.00,00
357,9900.00,00
358,9900.00,00
359,9850.00,01
360,9900.00,00
361,9900.00,78
362,9900.00,00
363,9850.00,00
364,9900.00,00
365,9900.00,00
366,9850.00,01
367,9900.00,00
368,9900.00,00
369,9850.00,00
370,9900.00,00
371,9900.00,00
372,9900.00,6E
373,49135550.00,FF
374,10950.00,FF
375,10950.00,02
376,10950.00,04
377,11000.00,02
378,10950.00,38
379,21950.00,11
380,51800.00,AE
381,28050.00,FF
382,9900.00,FF
383,9900.00,02
384,9850.00,13
385,9900.00,00
386,9900.00,02
387,9850.00,00
388,9900.00,01
389,9900.00,80
390,9900.00,02
391,9850.00,00
392,9900.00,78
393,9900.00,00
394,9850.00,00
395,9900.00,00
396,9900.00,00
397,9850.00,01
398,9900.00,00
399,9900.00,00
400,9850.00,00
401,9900.00,00
402,9900.00,00
403,9900.00,EC
404,47883400.00,00
405,1783400.00,FF
406,10950.00,FF
407,11000.00,02
408,10950.00,04
409,10950.00,02
410,11000.00,38
411,23900.00,11
412,66750.00,AE
413,26250.00,FF
414,9900.00,FF
415,9900.00,02
416,9850.00,13
417,9900.00,00
418,9900.00,02
419,9850.00,00
420,9900.00,00
421,9900.00,80
422,9850.00,02
423,9900.00,00
424,9900.00,78
425,9850.00,00
426,9900.00,00
427,9900.00,00
428,9850.00,00
429,9900.00,01
430,9900.00,00
431,9900.00,00
432,9850.00,00
433,9900.00,00
434,9900.00,00
435,9850.00,ED
436,49619450.00,FF
437,10950.00,FF
438,11000.00,02
439,10950.00,04
440,10950.00,02
441,10950.00,38
442,45800.00,11
443,61800.00,AE
444,27500.00,FF
445,9850.00,FF
446,9900.00,02
447,9900.00,13
448,9850.00,00
449,9900.00,02
450,9900.00,00
451,9850.00,00
452,9900.00,80
453,9900.00,02
454,9850.00,00
455,9900.00,78
456,9900.00,00
457,9900.00,00
458,9850.00,00
459,9900.00,00
460,9900.00,01
461,9850.00,00
462,9900.00,00
463,9900.00,00
464,9850.00,00
465,9900.00,00
466,9900.00,ED
467,50239750.00,FF
468,11000.00,FF
469,10950.00,02
470,10950.00,04
471,11000.00,02
472,10950.00,38
473,11950.00,11
474,54850.00,AE
475,26300.00,FF
476,9900.00,FF
477,9850.00,02
478,9900.00,13
479,9900.00,00
