Id,DeltaTime[ns],0:UART: RX/TX
344,11000.00,02
345,10950.00,04
346,10950.00,02
347,10950.00,38
348,10950.00,11
349,61800.00,AE
350,25550.00,FF
351,9850.00,FF
352,9900.00,02
353,9850.00,13
354,9850.00,00
355,9900.00,03
356,9850.00,08
357,9900.00,00
358,9850.00,00
359,9900.00,03
360,9850.00,00
361,9900.00,78
362,9850.00,00
363,9900.00,00
364,9850.00,00
365,9900.00,00
366,9850.00,FF
367,9900.00,07
368,9850.00,00
369,9900.00,00
370,9850.00,00
371,9900.00,00
372,9850.00,5E
373,2173650.00,00
374,568450.00,50
375,47376200.00,FF
376,10950.00,FF
377,10950.00,02
378,11000.00,04
379,10950.00,02
380,10950.00,38
381,70700.00,11
382,132500.00,AE
383,25650.00,FF
384,9900.00,FF
385,9850.00,02
386,9900.00,13
387,9850.00,00
388,9900.00,03
389,9850.00,08
390,9900.00,00
391,9850.00,00
392,9900.00,04
393,9850.00,00
394,9900.00,78
395,9850.00,00
396,9900.00,00
397,9850.00,00
398,9900.00,00
399,9850.00,FF
400,9900.00,07
401,9900.00,00
402,9850.00,00
403,9900.00,00
404,9850.00,00
405,9900.00,5D
406,49430150.00,FF
407,10950.00,FF
408,10950.00,02
409,10950.00,04
410,10950.00,02
411,10950.00,38
412,16950.00,11
413,133450.00,AE
414,26800.00,FF
415,9850.00,FF
416,9900.00,02
417,9850.00,13
418,9850.00,00
419,9900.00,03
420,9850.00,08
421,9900.00,00
422,9850.00,00
423,9900.00,06
424,9850.00,00
425,9900.00,78
426,9850.00,00
427,9900.00,00
428,9850.00,00
429,9900.00,00
430,9900.00,FF
431,9850.00,07
432,9900.00,00
433,9850.00,00
434,9900.00,00
435,9850.00,00
436,9900.00,5B
437,48897750.00,FF
438,10950.00,FF
439,10950.00,02
440,10950.00,04
441,11000.00,02
442,10950.00,38
443,43850.00,11
444,101600.00,AE
445,27350.00,FF
446,9850.00,FF
447,9900.00,02
448,9850.00,13
449,9900.00,00
450,9850.00,03
451,9900.00,08
452,9850.00,00
453,9900.00,00
454,9850.00,07
455,9900.00,00
456,9850.00,78
457,9900.00,00
458,9850.00,00
459,9900.00,00
460,9850.00,00
461,9900.00,FF
462,9900.00,07
463,9850.00,00
464,9850.00,00
465,9900.00,00
466,9850.00,00
467,9900.00,5A
468,49581750.00,FF
469,10950.00,FF
470,11000.00,02
471,10950.00,04
472,10950.00,02
473,10950.00,38
474,203250.00,11
475,104600.00,AE
476,25850.00,FF
477,9850.00,FF
478,9900.00,02
479,9850.00,13
480,9850.00,00
481,9900.00,03
482,9850.00,08
483,9900.00,00
484,9850.00,00
485,9900.00,08
486,9900.00,00
487,9850.00,78
488,9900.00,00
489,9850.00,00
490,9900.00,00
491,9850.00,00
492,9900.00,FF
493,9850.00,07
494,9900.00,00
495,9850.00,00
496,9900.00,00
497,9850.00,00
498,9900.00,59
499,49961650.00,FF
500,10950.00,FF
501,10950.00,02
502,11000.00,04
503,10950.00,02
504,10950.00,38
505,50800.00,11
506,108600.00,AE
507,25750.00,FF
508,9850.00,FF
509,9900.00,02
510,9850.00,13
511,9850.00,00
512,9900.00,03
513,9850.00,08
514,9900.00,00
515,9900.00,00
516,9850.00,09
517,9900.00,00
518,9850.00,78
519,9900.00,00
520,9850.00,00
521,9900.00,00
522,9850.00,00
523,9900.00,FF
524,9900.00,07
525,9850.00,00
526,9850.00,00
527,9900.00,00
528,9850.00,00
529,9900.00,58
530,49213400.00,FF
531,10950.00,FF
532,10950.00,02
533,11000.00,04
534,10950.00,02
535,10950.00,38
536,97550.00,11
537,122500.00,AE
538,26250.00,FF
539,9900.00,FF
540,9850.00,02
541,9850.00,13
542,9900.00,00
543,9850.00,03
544,9900.00,08
545,9900.00,00
546,9850.00,00
547,9900.00,0A
548,9850.00,00
549,9900.00,78
550,9850.00,00
551,9900.00,00
552,9850.00,00
553,9900.00,00
554,9850.00,FF
555,9900.00,07
556,9850.00,00
557,9900.00,00
558,9850.00,00
559,9900.00,00
560,9850.00,57
561,49445100.00,FF
562,10950.00,FF
563,10950.00,02
564,10950.00,04
565,11000.00,02
566,10950.00,38
567,90700.00,11
568,153500.00,AE
569,25450.00,FF
570,9900.00,FF
571,9850.00,02
572,9850.00,13
573,9900.00,00
574,9850.00,03
575,9900.00,08
576,9850.00,00
577,9900.00,00
578,9850.00,0C
579,9900.00,00
580,9850.00,78
581,9900.00,00
582,9850.00,00
583,9900.00,00
584,9850.00,00
585,9900.00,FF
586,9900.00,07
587,9850.00,00
588,9850.00,00
589,9900.00,00
590,9850.00,00
591,9900.00,55
592,49466950.00,FF
593,10950.00,FF
594,10950.00,02
595,11000.00,04
596,10950.00,02
597,10950.00,38
598,23900.00,11
599,107650.00,AE
600,26850.00,FF
601,9900.00,FF
602,9850.00,02
603,9850.00,13
604,9900.00,00
605,9850.00,03
606,9900.00,08
607,9850.00,00
608,9900.00,00
609,9850.00,0D
610,9900.00,00
611,9850.00,78
612,9900.00,00
613,9850.00,00
614,9900.00,00
615,9850.00,00
616,9900.00,FF
617,9900.00,07
618,9850.00,00
619,9850.00,00
620,9900.00,00
621,9850.00,00
622,9900.00,54
