Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
131,11,11,119600.00,77750.00,-41850.00,1
132,AE,A3,138550.00,72800.00,-65750.00,0
133,FF,FF,59250.00,45950.00,-13300.00,1
134,FF,FF,12800.00,9950.00,-2850.00,1
135,02,0D,12850.00,9950.00,-2900.00,0
136,13,13,12850.00,10000.00,-2850.00,1
137,00,00,12850.00,9950.00,-2900.00,1
138,00,CC,12800.00,9950.00,-2850.00,0
139,00,08,12850.00,9950.00,-2900.00,0
140,00,00,12850.00,10000.00,-2850.00,1
141,80,00,12850.00,9950.00,-2900.00,0
142,1F,00,12850.00,9950.00,-2900.00,0
143,04,00,12800.00,10000.00,-2800.00,0
144,78,7A,12850.00,9950.00,-2900.00,0
145,00,19,12850.00,9950.00,-2900.00,0
146,00,00,12850.00,9950.00,-2900.00,1
147,00,00,12800.00,10000.00,-2800.00,1
148,00,00,12850.00,9950.00,-2900.00,1
149,01,CC,12850.00,9950.00,-2900.00,0
150,00,08,12850.00,9950.00,-2900.00,0
151,00,00,12850.00,10000.00,-2850.00,1
152,00,00,12850.00,9950.00,-2900.00,1
153,00,00,12800.00,9950.00,-2850.00,1
154,00,00,12850.00,10000.00,-2850.00,1
155,CE,A4,12850.00,9950.00,-2900.00,0
156,FF,FF,48704700.00,49666250.00,961550.00,1
157,FF,FF,10950.00,10950.00,0.00,1
158,02,0D,11000.00,11000.00,0.00,0
159,04,04,10950.00,10950.00,0.00,1
160,02,02,10950.00,10950.00,0.00,1
161,38,38,11000.00,11000.00,0.00,1
162,11,11,64800.00,57800.00,-7000.00,1
163,AE,A3,107700.00,73750.00,-33950.00,0
164,FF,FF,36300.00,44300.00,8000.00,1
165,FF,FF,12850.00,9950.00,-2900.00,1
166,02,0D,12850.00,9950.00,-2900.00,0
167,13,13,12850.00,10000.00,-2850.00,1
168,00,00,12800.00,9950.00,-2850.00,1
169,00,CC,12850.00,9950.00,-2900.00,0
170,00,08,12850.00,10000.00,-2850.00,0
171,00,00,12850.00,9950.00,-2900.00,1
172,80,00,12800.00,9950.00,-2850.00,0
173,1F,00,12850.00,10000.00,-2850.00,0
174,04,00,12850.00,9950.00,-2900.00,0
175,78,7A,12850.00,10000.00,-2850.00,0
176,00,19,12800.00,9950.00,-2850.00,0
177,00,00,12850.00,9950.00,-2900.00,1
178,00,00,12850.00,10000.00,-2850.00,1
179,00,00,12850.00,9950.00,-2900.00,1
180,01,CC,12800.00,9950.00,-2850.00,0
181,00,08,12850.00,10000.00,-2850.00,0
182,00,00,12850.00,9950.00,-2900.00,1
183,00,00,12850.00,9950.00,-2900.00,1
184,00,00,12800.00,10000.00,-2800.00,1
185,00,00,12850.00,9950.00,-2900.00,1
186,CE,A4,12850.00,9950.00,-2900.00,0
187,00,FF,14438300.00,49491800.00,35053500.00,0
188,FF,FF,35648700.00,10950.00,-35637750.00,1
189,FF,0D,11000.00,11000.00,0.00,0
190,02,04,10950.00,10950.00,0.00,0
191,04,02,10950.00,10950.00,0.00,0
192,02,38,11000.00,11000.00,0.00,0
193,38,11,10950.00,23900.00,12950.00,0
194,11,A3,106600.00,104650.00,-1950.00,0
195,AE,FF,132550.00,45450.00,-87100.00,0
196,FF,FF,56950.00,9950.00,-47000.00,1
197,FF,0D,12850.00,9950.00,-2900.00,0
198,02,13,12800.00,10000.00,-2800.00,0
199,13,00,12850.00,9950.00,-2900.00,0
200,00,CC,12850.00,9950.00,-2900.00,0
201,00,08,12850.00,10000.00,-2850.00,0
202,00,00,12800.00,9950.00,-2850.00,1
203,00,00,12850.00,9950.00,-2900.00,1
204,80,00,12850.00,10000.00,-2850.00,0
205,1F,00,12850.00,9950.00,-2900.00,0
206,04,7A,12800.00,9950.00,-2850.00,0
207,78,19,12850.00,10000.00,-2850.00,0
208,00,00,12850.00,9950.00,-2900.00,1
209,00,00,12850.00,9950.00,-2900.00,1
210,00,00,12800.00,10000.00,-2800.00,1
211,00,CC,12850.00,9950.00,-2900.00,0
212,01,08,12850.00,9950.00,-2900.00,0
