Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
563,04,04,10950.00,10950.00,0.00,1
564,02,02,10950.00,10950.00,0.00,1
565,38,38,10950.00,10950.00,0.00,1
566,11,11,142450.00,54800.00,-87650.00,1
567,AE,A3,134450.00,129600.00,-4850.00,0
568,FF,FF,57850.00,45050.00,-12800.00,1
569,FF,FF,12850.00,9950.00,-2900.00,1
570,02,0D,12850.00,10000.00,-2850.00,0
571,13,13,12850.00,9950.00,-2900.00,1
572,00,00,12800.00,9950.00,-2850.00,1
573,00,CC,12850.00,10000.00,-2850.00,0
574,00,08,12850.00,9950.00,-2900.00,0
575,00,00,12850.00,9950.00,-2900.00,1
576,80,00,12800.00,10000.00,-2800.00,0
577,1F,00,12850.00,9950.00,-2900.00,0
578,04,00,12850.00,9950.00,-2900.00,0
579,78,7A,12850.00,10000.00,-2850.00,0
580,00,19,12850.00,9950.00,-2900.00,0
581,00,00,12800.00,9950.00,-2850.00,1
582,00,00,12850.00,10000.00,-2850.00,1
583,00,00,12850.00,9950.00,-2900.00,1
584,01,CC,12850.00,9950.00,-2900.00,0
585,00,08,12800.00,10000.00,-2800.00,0
586,00,00,12850.00,9950.00,-2900.00,1
587,00,00,12850.00,9950.00,-2900.00,1
588,00,00,12850.00,10000.00,-2850.00,1
589,00,00,12800.00,9950.00,-2850.00,1
590,CE,A4,12850.00,9950.00,-2900.00,0
591,FF,FF,49639300.00,49527500.00,-111800.00,1
592,FF,FF,10950.00,10950.00,0.00,1
593,02,0D,10950.00,10950.00,0.00,0
594,04,04,10950.00,10950.00,0.00,1
595,02,02,11000.00,11000.00,0.00,1
596,38,38,10950.00,10950.00,0.00,1
597,11,11,89700.00,115600.00,25900.00,1
598,AE,A3,109650.00,93700.00,-15950.00,0
599,FF,FF,56550.00,43300.00,-13250.00,1
600,FF,FF,12850.00,9950.00,-2900.00,1
601,02,0D,12850.00,9950.00,-2900.00,0
602,13,13,12850.00,9950.00,-2900.00,1
603,00,00,12800.00,10000.00,-2800.00,1
604,00,CC,12850.00,9950.00,-2900.00,0
605,00,08,12850.00,9950.00,-2900.00,0
606,00,00,12850.00,10000.00,-2850.00,1
607,80,00,12800.00,9950.00,-2850.00,0
608,1F,00,12850.00,9950.00,-2900.00,0
609,04,00,12850.00,9950.00,-2900.00,0
610,78,7A,12850.00,10000.00,-2850.00,0
611,00,19,12800.00,9950.00,-2850.00,0
612,00,00,12850.00,10000.00,-2850.00,1
613,00,00,12850.00,9950.00,-2900.00,1
614,00,00,12850.00,9950.00,-2900.00,1
615,01,CC,12800.00,9950.00,-2850.00,0
616,00,08,12850.00,10000.00,-2850.00,0
617,00,00,12850.00,9950.00,-2900.00,1
618,00,00,12850.00,9950.00,-2900.00,1
619,00,00,12800.00,10000.00,-2800.00,1
620,00,00,12850.00,9950.00,-2900.00,1
621,CE,A4,12850.00,9950.00,-2900.00,0
