Id,DeltaTime[ns],0:UART: RX/TX
339,10000.00,00
340,9950.00,00
341,9950.00,A4
342,49709800.00,FF
343,10950.00,FF
344,10950.00,0D
345,10950.00,04
346,10950.00,02
347,11000.00,38
348,47800.00,11
349,151400.00,A3
350,41400.00,FF
351,9950.00,FF
352,10000.00,0D
353,9950.00,13
354,9950.00,00
355,10000.00,CC
356,9950.00,08
357,9950.00,00
358,9950.00,00
359,10000.00,00
360,9950.00,00
361,9950.00,7A
362,9950.00,19
363,10000.00,00
364,9950.00,00
365,9950.00,00
366,10000.00,CC
367,9950.00,08
368,9950.00,00
369,9950.00,00
370,10000.00,00
371,9950.00,00
372,9950.00,A4
373,46447300.00,00
374,3328400.00,FF
375,10950.00,FF
376,10950.00,0D
377,10950.00,04
378,11000.00,02
379,10950.00,38
380,68750.00,11
381,155400.00,A3
382,41650.00,FF
383,9950.00,FF
384,9950.00,0D
385,9950.00,13
386,10000.00,00
387,9950.00,CC
388,9950.00,08
389,10000.00,00
390,9950.00,00
391,9950.00,00
392,10000.00,00
393,9950.00,7A
394,9950.00,19
395,9950.00,00
396,10000.00,00
397,9950.00,00
398,9950.00,CC
399,9950.00,08
400,10000.00,00
401,9950.00,00
402,9950.00,00
403,10000.00,00
404,9950.00,A4
405,49175750.00,FF
406,10950.00,FF
407,10950.00,0D
408,11000.00,04
409,10950.00,02
410,10950.00,38
411,86750.00,11
412,120600.00,A3
413,42700.00,FF
414,9950.00,FF
415,10000.00,0D
416,9950.00,13
417,9950.00,00
418,10000.00,CC
419,9950.00,08
420,9950.00,00
421,10000.00,00
422,9950.00,00
423,9950.00,00
424,10000.00,7A
425,9950.00,19
426,9950.00,00
427,10000.00,00
428,9950.00,00
429,9950.00,CC
430,10000.00,08
431,9950.00,00
432,9950.00,00
433,10000.00,00
434,9950.00,00
435,9950.00,A4
436,49338250.00,FF
437,11000.00,FF
438,10950.00,0D
439,10950.00,04
440,10950.00,02
441,11000.00,38
442,94650.00,11
443,140550.00,A3
444,50050.00,FF
445,9950.00,FF
446,9950.00,0D
447,10000.00,13
448,9950.00,00
449,9950.00,CC
450,10000.00,08
451,9950.00,00
452,9950.00,00
453,10000.00,00
454,9950.00,00
455,9950.00,7A
456,10000.00,19
457,9950.00,00
458,9950.00,00
459,10000.00,00
460,9950.00,CC
461,9950.00,08
462,10000.00,00
463,9950.00,00
464,9950.00,00
465,10000.00,00
466,9950.00,A4
467,49413000.00,FF
468,10950.00,FF
469,11000.00,0D
470,10950.00,04
471,10950.00,02
472,11000.00,38
473,126550.00,11
474,228250.00,A3
