Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
298,1F,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
299,04,78,7A,7A,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
300,78,00,19,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
301,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
302,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
303,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
304,00,00,CC,6F,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
305,01,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
306,00,00,00,9E,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
307,00,00,00,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
308,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
309,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
310,00,DE,A4,E2,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
311,CE,FF,FF,FF,12850.00,44787250.00,49425950.00,49378700.00,44774400.00,4638700.00,4591450.00
312,FF,FF,FF,FF,49456100.00,11000.00,10950.00,11000.00,-49445100.00,-50.00,0.00
313,FF,02,0D,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
314,02,04,04,04,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
315,04,02,02,02,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
316,02,38,38,38,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
317,38,11,11,11,11000.00,45800.00,77750.00,90700.00,34800.00,31950.00,44900.00
318,11,AE,A3,AD,112600.00,95650.00,82750.00,64750.00,-16950.00,-12900.00,-30900.00
319,AE,FF,FF,FF,135500.00,56500.00,43950.00,42750.00,-79000.00,-12550.00,-13750.00
320,FF,FF,FF,FF,56200.00,9850.00,10000.00,9950.00,-46350.00,150.00,100.00
321,FF,02,0D,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
322,02,13,13,13,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
323,13,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
324,00,02,CC,6F,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
325,00,08,08,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
326,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
327,00,80,00,00,12800.00,9900.00,10000.00,10000.00,-2900.00,100.00,100.00
328,80,02,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
329,1F,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
330,04,78,7A,7A,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
331,78,00,19,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
332,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
333,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
334,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
335,00,00,CC,6F,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
336,01,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
337,00,00,00,9F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
338,00,00,00,03,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
339,00,00,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
340,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
341,00,DE,A4,E1,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
342,CE,FF,FF,FF,12850.00,46758550.00,49709800.00,50121400.00,46745700.00,2951250.00,3362850.00
343,FF,FF,FF,FF,49355250.00,10950.00,10950.00,10950.00,-49344300.00,0.00,0.00
344,FF,02,0D,03,11000.00,11000.00,10950.00,11000.00,0.00,-50.00,0.00
345,02,04,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
346,04,02,02,02,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
347,02,38,38,38,11000.00,10950.00,11000.00,10950.00,-50.00,50.00,0.00
348,38,11,11,11,10950.00,50850.00,47800.00,120550.00,39900.00,-3050.00,69700.00
349,11,AE,A3,AD,129550.00,77750.00,151400.00,57800.00,-51800.00,73650.00,-19950.00
350,AE,FF,FF,FF,121600.00,57150.00,41400.00,43700.00,-64450.00,-15750.00,-13450.00
351,FF,FF,FF,FF,56500.00,9900.00,9950.00,9950.00,-46600.00,50.00,50.00
352,FF,02,0D,03,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
353,02,13,13,13,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
354,13,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
355,00,02,CC,6F,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
356,00,08,08,07,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
357,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
358,00,80,00,00,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
359,80,03,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
360,1F,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
361,04,78,7A,7A,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
362,78,00,19,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
363,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
364,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
365,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
366,00,00,CC,6F,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
367,01,08,08,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
368,00,00,00,9F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
369,00,00,00,03,12800.00,9850.00,9950.00,10000.00,-2950.00,100.00,150.00
370,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
371,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
372,00,DD,A4,E1,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
373,CE,FF,00,FF,12800.00,45621750.00,46447300.00,49001850.00,45608950.00,825550.00,3380100.00
374,FF,FF,FF,FF,49175900.00,10950.00,3328400.00,10950.00,-49164950.00,3317450.00,0.00
375,FF,02,FF,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
376,02,04,0D,04,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
377,04,02,04,02,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
378,02,38,02,38,11000.00,10950.00,11000.00,10950.00,-50.00,50.00,0.00
379,38,11,38,11,10950.00,62750.00,10950.00,16950.00,51800.00,-51800.00,-45800.00
380,11,AE,11,AD,115550.00,122600.00,68750.00,113600.00,7050.00,-53850.00,-9000.00
381,AE,FF,A3,FF,127600.00,36050.00,155400.00,42500.00,-91550.00,119350.00,6450.00
382,FF,FF,FF,FF,58400.00,9900.00,41650.00,9950.00,-48500.00,31750.00,50.00
383,FF,02,FF,03,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
384,02,13,0D,13,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
385,13,00,13,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
386,00,02,00,6F,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
387,00,08,CC,07,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
388,00,00,08,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
389,00,80,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
390,80,04,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
391,1F,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
392,04,78,00,7A,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
393,78,00,7A,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
394,00,00,19,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
395,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
396,00,00,00,00,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
397,00,00,00,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
398,01,08,CC,07,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
399,00,00,08,9F,13850.00,9900.00,9950.00,9950.00,-3950.00,50.00,50.00
400,00,00,00,03,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
401,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
402,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
403,00,DC,00,E1,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
404,CE,00,A4,FF,12850.00,29530000.00,9950.00,49628350.00,29517150.00,-29520050.00,20098350.00
405,FF,14,FF,FF,49176300.00,131650.00,49175750.00,10950.00,-49044650.00,49044100.00,-120700.00
406,FF,FF,FF,03,10950.00,31945900.00,10950.00,10950.00,31934950.00,-31934950.00,-31934950.00
407,02,FF,0D,04,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
408,04,02,04,02,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
409,02,04,02,38,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
410,38,02,38,11,10950.00,11000.00,10950.00,111650.00,50.00,-50.00,100650.00
411,11,38,11,AD,83650.00,10950.00,86750.00,59800.00,-72700.00,75800.00,48850.00
412,AE,11,A3,FF,126550.00,39850.00,120600.00,45350.00,-86700.00,80750.00,5500.00
413,FF,AE,FF,FF,36150.00,82650.00,42700.00,9950.00,46500.00,-39950.00,-72700.00
414,FF,FF,FF,03,12850.00,57200.00,9950.00,9950.00,44350.00,-47250.00,-47250.00
415,02,FF,0D,13,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
416,13,02,13,00,12800.00,9900.00,9950.00,10000.00,-2900.00,50.00,100.00
417,00,13,00,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
418,00,00,CC,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
419,00,02,08,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
420,00,08,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
421,80,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
422,1F,80,00,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
423,04,05,00,7A,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
424,78,00,7A,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
425,00,78,19,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
426,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
427,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
428,00,00,00,6F,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
429,01,00,CC,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
430,00,00,08,A0,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
431,00,08,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
432,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
433,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
434,00,00,00,E0,12800.00,9900.00,9950.00,10000.00,-2900.00,50.00,100.00
435,CE,00,A4,FF,12850.00,9850.00,9950.00,50134200.00,-3000.00,100.00,50124350.00
436,FF,DB,FF,FF,49400900.00,9900.00,49338250.00,11000.00,-49391000.00,49328350.00,1100.00
437,FF,FF,FF,03,10950.00,45104600.00,11000.00,10950.00,45093650.00,-45093600.00,-45093650.00
438,02,FF,0D,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
439,04,02,04,02,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
440,02,04,02,38,11000.00,10950.00,10950.00,11000.00,-50.00,0.00,50.00
441,38,02,38,11,10950.00,11000.00,11000.00,77700.00,50.00,0.00,66700.00
442,11,38,11,AD,93650.00,10950.00,94650.00,63800.00,-82700.00,83700.00,52850.00
443,AE,11,A3,FF,104600.00,44800.00,140550.00,45550.00,-59800.00,95750.00,750.00
444,FF,AE,FF,FF,57350.00,91650.00,50050.00,9950.00,34300.00,-41600.00,-81700.00
445,FF,FF,FF,03,12800.00,57450.00,9950.00,9950.00,44650.00,-47500.00,-47500.00
446,02,FF,0D,13,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
447,13,02,13,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
448,00,13,00,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
449,00,00,CC,07,12800.00,9850.00,9950.00,10000.00,-2950.00,100.00,150.00
450,00,02,08,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
451,00,08,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
452,80,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
453,1F,80,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
454,04,06,00,7A,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
455,78,00,7A,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
456,00,78,19,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
457,00,00,00,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
458,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
459,00,00,00,6F,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
460,01,00,CC,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
461,00,00,08,A0,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
462,00,08,00,03,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
463,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
464,00,00,00,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
465,00,00,00,E0,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
466,CE,00,A4,FF,12850.00,9850.00,9950.00,48914050.00,-3000.00,100.00,48904200.00
467,FF,DA,FF,FF,49648550.00,9900.00,49413000.00,10950.00,-49638650.00,49403100.00,1050.00
468,FF,FF,FF,03,10950.00,45761150.00,10950.00,10950.00,45750200.00,-45750200.00,-45750200.00
469,02,FF,0D,04,10950.00,10950.00,11000.00,11000.00,0.00,50.00,50.00
470,04,02,04,02,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
471,02,04,02,38,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
472,38,02,38,11,10950.00,10950.00,11000.00,52850.00,0.00,50.00,41900.00
473,11,38,11,AD,77700.00,10950.00,126550.00,106650.00,-66750.00,115600.00,95700.00
474,AE,11,A3,FF,120600.00,57800.00,228250.00,42550.00,-62800.00,170450.00,-15250.00
475,FF,AE,FF,FF,57550.00,66700.00,43900.00,10000.00,9150.00,-22800.00,-56700.00
476,FF,FF,FF,03,12850.00,58050.00,9950.00,9950.00,45200.00,-48100.00,-48100.00
477,02,FF,0D,13,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
478,13,02,13,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
479,00,13,00,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
480,00,00,CC,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
481,00,02,08,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
482,00,08,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
483,80,00,00,00,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
484,1F,80,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
485,04,06,00,7A,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
486,78,00,7A,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
487,00,78,19,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
488,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
489,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
490,00,00,00,6F,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
491,01,00,CC,07,12800.00,9900.00,9950.00,10000.00,-2900.00,50.00,100.00
492,00,00,08,A1,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
493,00,08,00,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
494,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
495,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
496,00,00,00,DF,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
497,CE,00,A4,FF,12850.00,9900.00,10000.00,49421100.00,-2950.00,100.00,49411200.00
498,FF,DA,FF,FF,48892850.00,9850.00,49105350.00,11000.00,-48883000.00,49095500.00,1150.00
499,FF,FF,FF,03,10950.00,46288950.00,10950.00,10950.00,46278000.00,-46278000.00,-46278000.00
500,02,FF,0D,04,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
501,04,02,04,02,10950.00,11000.00,10950.00,11000.00,50.00,-50.00,0.00
502,02,04,02,38,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
503,38,02,38,11,10950.00,10950.00,11000.00,95700.00,0.00,50.00,84750.00
504,11,38,11,AD,99600.00,10950.00,124550.00,133550.00,-88650.00,113600.00,122600.00
505,AE,11,A3,FF,110650.00,25950.00,80700.00,43150.00,-84700.00,54750.00,17200.00
506,FF,AE,FF,FF,56950.00,68700.00,43900.00,9950.00,11750.00,-24800.00,-58750.00
507,FF,FF,FF,03,12850.00,36450.00,9950.00,9950.00,23600.00,-26500.00,-26500.00
508,02,FF,0D,13,12850.00,9850.00,10000.00,10000.00,-3000.00,150.00,150.00
509,13,02,13,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
510,00,13,00,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
511,00,00,CC,07,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
512,00,02,08,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
513,00,08,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
514,80,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
515,1F,80,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
516,04,07,00,7A,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
517,78,00,7A,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
518,00,78,19,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
519,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
520,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
521,00,00,00,6F,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
522,01,00,CC,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
523,00,00,08,A0,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
524,00,08,00,03,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
525,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
526,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
527,00,00,00,E0,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
528,CE,00,A4,00,12850.00,9900.00,9950.00,7763000.00,-2950.00,50.00,7753100.00
529,FF,D9,FF,FF,50046800.00,9850.00,49951900.00,41522250.00,-50036950.00,49942050.00,41512400.00
530,FF,FF,FF,FF,10950.00,60148200.00,10950.00,11000.00,60137250.00,-60137250.00,-60137200.00
531,02,FF,0D,03,11000.00,11000.00,11000.00,10950.00,0.00,0.00,-50.00
532,04,02,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
533,02,04,02,02,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
534,38,02,38,38,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
535,11,38,11,11,115600.00,10950.00,133600.00,147500.00,-104650.00,122650.00,136550.00
536,AE,11,A3,AD,111700.00,13950.00,122550.00,152550.00,-97750.00,108600.00,138600.00
537,FF,AE,FF,FF,37200.00,84650.00,45700.00,48950.00,47450.00,-38950.00,-35700.00
538,FF,FF,FF,FF,12850.00,57700.00,10000.00,9950.00,44850.00,-47700.00,-47750.00
539,02,FF,0D,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
540,13,02,13,13,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
541,00,13,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
542,00,00,CC,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
543,00,02,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
544,00,08,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
545,80,00,00,00,12800.00,9850.00,9950.00,10000.00,-2950.00,100.00,150.00
546,1F,80,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
547,04,09,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
548,78,00,7A,7A,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
549,00,78,19,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
550,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
551,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
552,00,00,00,00,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
553,01,00,CC,6F,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
554,00,00,08,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
555,00,08,00,A2,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
556,00,00,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
557,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
558,00,00,00,00,12850.00,9850.00,10000.00,10000.00,-3000.00,150.00,150.00
559,CE,00,A4,DE,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
560,FF,D7,FF,FF,49306400.00,9850.00,48975150.00,49978900.00,-49296550.00,48965300.00,49969050.00
561,FF,FF,FF,FF,10950.00,45228950.00,10950.00,10950.00,45218000.00,-45218000.00,-45218000.00
562,02,FF,0D,03,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
563,04,02,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
564,02,04,02,02,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
565,38,02,38,38,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
566,11,38,11,11,142450.00,10950.00,54800.00,43850.00,-131500.00,43850.00,32900.00
567,AE,11,A3,AD,134450.00,106650.00,129600.00,128600.00,-27800.00,22950.00,21950.00
568,FF,AE,FF,FF,57850.00,74700.00,45050.00,42350.00,16850.00,-29650.00,-32350.00
569,FF,FF,FF,FF,12850.00,58500.00,9950.00,9950.00,45650.00,-48550.00,-48550.00
570,02,FF,0D,03,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
571,13,02,13,13,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
572,00,13,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
573,00,00,CC,6F,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
574,00,02,08,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
575,00,08,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
576,80,00,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
577,1F,80,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
578,04,0A,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
579,78,00,7A,7A,12850.00,9850.00,10000.00,10000.00,-3000.00,150.00,150.00
580,00,78,19,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
581,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
582,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
583,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
584,01,00,CC,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
585,00,00,08,07,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
586,00,08,00,A1,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
587,00,00,00,03,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
588,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
589,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
590,CE,00,A4,DF,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
591,FF,D6,FF,FF,49639300.00,9900.00,49527500.00,49160550.00,-49629400.00,49517600.00,49150650.00
592,FF,FF,FF,FF,10950.00,45116600.00,10950.00,10950.00,45105650.00,-45105650.00,-45105650.00
593,02,FF,0D,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
594,04,02,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
595,02,04,02,02,11000.00,10950.00,11000.00,11000.00,-50.00,50.00,50.00
596,38,02,38,38,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
597,11,38,11,11,89700.00,10950.00,115600.00,45850.00,-78750.00,104650.00,34900.00
598,AE,11,A3,AD,109650.00,32900.00,93700.00,236100.00,-76750.00,60800.00,203200.00
599,FF,AE,FF,FF,56550.00,201200.00,43300.00,43400.00,144650.00,-157900.00,-157800.00
600,FF,FF,FF,FF,12850.00,56600.00,9950.00,9950.00,43750.00,-46650.00,-46650.00
601,02,FF,0D,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
