Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
69,11,11,11,11,97600.00,23900.00,125600.00,118600.00,-73700.00,101700.00,94700.00
70,AE,AE,A3,AD,129500.00,111600.00,61800.00,97700.00,-17900.00,-49800.00,-13900.00
71,FF,FF,FF,FF,57700.00,58300.00,42750.00,45950.00,600.00,-15550.00,-12350.00
72,FF,FF,FF,FF,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
73,02,02,0D,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
74,13,13,13,13,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
75,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
76,00,02,CC,6F,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
77,00,08,08,07,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
78,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
79,80,80,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
80,1F,04,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
81,04,04,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
82,78,78,7A,7A,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
83,00,00,19,00,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
84,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
85,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
86,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
87,01,00,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
88,00,08,08,07,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
89,00,00,00,9B,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
90,00,00,00,03,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
91,00,00,00,00,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
92,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
93,CE,D8,A4,E5,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
94,FF,FF,FF,FF,50144600.00,45413450.00,49457350.00,48987050.00,-4731150.00,4043900.00,3573600.00
95,FF,FF,FF,FF,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
96,02,02,0D,03,11000.00,10950.00,10950.00,11000.00,-50.00,0.00,50.00
97,04,04,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
98,02,02,02,02,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
99,38,38,38,38,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
100,11,11,11,11,104600.00,25900.00,70700.00,34900.00,-78700.00,44800.00,9000.00
101,AE,AE,A3,AD,126550.00,80750.00,62800.00,127550.00,-45800.00,-17950.00,46800.00
102,FF,FF,FF,FF,56950.00,57250.00,45750.00,43150.00,300.00,-11500.00,-14100.00
103,FF,FF,FF,FF,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
104,02,02,0D,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
105,13,13,13,13,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
106,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
107,00,02,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
108,00,08,08,07,12850.00,9850.00,10000.00,10000.00,-3000.00,150.00,150.00
109,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
110,80,80,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
111,1F,03,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
112,04,04,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
113,78,78,7A,7A,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
114,00,00,19,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
115,00,00,00,00,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
116,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
117,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
118,01,00,CC,6F,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
119,00,08,08,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
120,00,00,00,9D,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
121,00,00,00,03,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
122,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
123,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
124,CE,D9,A4,E3,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
125,FF,FF,FF,FF,49304300.00,46715200.00,48799300.00,49552450.00,-2589100.00,2084100.00,2837250.00
126,FF,FF,FF,FF,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
127,02,02,0D,03,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
