Id,AHex,BHex,ADelta[ns],BDelta[ns],AMinusB[ns],SameByte
589,00,00,9900.00,9950.00,-50.00,1
590,00,F2,9850.00,9900.00,-50.00,0
591,55,FF,9900.00,49535550.00,-49525650.00,0
592,FF,FF,49466950.00,10950.00,49456000.00,1
593,FF,07,10950.00,10950.00,0.00,0
594,02,04,10950.00,10950.00,0.00,0
595,04,02,11000.00,11000.00,0.00,0
596,02,38,10950.00,10950.00,0.00,0
597,38,11,10950.00,71750.00,-60800.00,0
598,11,A9,23900.00,97650.00,-73750.00,0
599,AE,FF,107650.00,43150.00,64500.00,0
600,FF,FF,26850.00,9950.00,16900.00,1
601,FF,07,9900.00,9900.00,0.00,0
602,02,13,9850.00,9950.00,-100.00,0
603,13,00,9850.00,9900.00,-50.00,0
604,00,A5,9900.00,9950.00,-50.00,0
605,03,08,9850.00,9950.00,-100.00,0
606,08,00,9900.00,9900.00,0.00,0
607,00,00,9850.00,9950.00,-100.00,1
608,00,00,9900.00,9950.00,-50.00,1
609,0D,00,9850.00,9900.00,-50.00,0
610,00,7A,9900.00,9950.00,-50.00,0
611,78,1F,9850.00,9950.00,-100.00,0
612,00,00,9900.00,9900.00,0.00,1
613,00,00,9850.00,9950.00,-100.00,1
614,00,00,9900.00,9900.00,0.00,1
615,00,A5,9850.00,9950.00,-100.00,0
616,FF,08,9900.00,9950.00,-50.00,0
617,07,00,9900.00,9900.00,0.00,0
618,00,00,9850.00,9950.00,-100.00,1
619,00,00,9850.00,9950.00,-100.00,1
620,00,00,9900.00,9900.00,0.00,1
621,00,F2,9850.00,9950.00,-100.00,0
