Id,AHex,BHex,ADelta[ns],BDelta[ns],AMinusB[ns],SameByte
135,02,07,9900.00,9950.00,-50.00,0
136,13,13,9850.00,9900.00,-50.00,1
137,00,00,9850.00,9950.00,-100.00,1
138,03,A5,9900.00,9950.00,-50.00,0
139,08,08,9850.00,9900.00,-50.00,1
140,00,00,9900.00,9950.00,-50.00,1
141,00,00,9850.00,9950.00,-100.00,1
142,04,00,9900.00,9900.00,0.00,0
143,04,00,9850.00,9950.00,-100.00,0
144,78,7A,9900.00,9900.00,0.00,0
145,00,1F,9850.00,9950.00,-100.00,0
146,00,00,9900.00,9950.00,-50.00,1
147,00,00,9850.00,9900.00,-50.00,1
148,00,00,9900.00,9950.00,-50.00,1
149,FF,A5,9850.00,9950.00,-100.00,0
150,07,08,9900.00,9900.00,0.00,0
151,00,00,9850.00,9950.00,-100.00,1
152,00,00,9900.00,9950.00,-50.00,1
153,00,00,9850.00,9900.00,-50.00,1
154,00,00,9900.00,9950.00,-50.00,1
155,59,F2,9850.00,9900.00,-50.00,0
156,FF,FF,49443950.00,49692550.00,-248600.00,1
157,FF,FF,10950.00,10950.00,0.00,1
158,02,07,10950.00,10950.00,0.00,0
159,04,04,10950.00,10950.00,0.00,1
160,02,02,10950.00,10950.00,0.00,1
161,38,38,10950.00,10950.00,0.00,1
162,11,11,91650.00,70750.00,20900.00,1
163,AE,A9,113550.00,105650.00,7900.00,0
164,FF,FF,25700.00,43550.00,-17850.00,1
165,FF,FF,9850.00,9950.00,-100.00,1
166,02,07,9900.00,9900.00,0.00,0
167,13,13,9850.00,9950.00,-100.00,1
168,00,00,9850.00,9900.00,-50.00,1
169,03,A5,9900.00,9950.00,-50.00,0
170,08,08,9850.00,9900.00,-50.00,1
171,00,00,9900.00,9950.00,-50.00,1
172,00,00,9850.00,9900.00,-50.00,1
173,03,00,9900.00,9950.00,-50.00,0
174,04,00,9850.00,9950.00,-100.00,0
175,78,7A,9900.00,9900.00,0.00,0
176,00,1F,9850.00,9950.00,-100.00,0
177,00,00,9900.00,9900.00,0.00,1
178,00,00,9850.00,9950.00,-100.00,1
179,00,00,9900.00,9950.00,-50.00,1
180,FF,A5,9850.00,9900.00,-50.00,0
181,07,08,9900.00,9950.00,-50.00,0
182,00,00,9850.00,9900.00,-50.00,1
183,00,00,9900.00,9950.00,-50.00,1
184,00,00,9850.00,9950.00,-100.00,1
185,00,00,9900.00,9900.00,0.00,1
186,5A,F2,9850.00,9950.00,-100.00,0
187,FF,FF,49489800.00,48712500.00,777300.00,1
188,FF,FF,10950.00,10950.00,0.00,1
189,02,07,11000.00,10950.00,50.00,0
190,04,04,10950.00,10950.00,0.00,1
191,02,02,10950.00,11000.00,-50.00,1
192,38,38,10950.00,10950.00,0.00,1
193,11,11,66750.00,92650.00,-25900.00,1
194,AE,A9,102600.00,108650.00,-6050.00,0
195,FF,FF,25450.00,41550.00,-16100.00,1
196,FF,FF,9850.00,9900.00,-50.00,1
197,02,07,9900.00,9950.00,-50.00,0
198,13,13,9850.00,9900.00,-50.00,1
199,00,00,9850.00,9950.00,-100.00,1
200,03,A5,9900.00,9900.00,0.00,0
201,08,08,9850.00,9950.00,-100.00,1
202,00,00,9900.00,9900.00,0.00,1
203,00,00,9850.00,9950.00,-100.00,1
204,02,00,9900.00,9950.00,-50.00,0
205,04,00,9850.00,9900.00,-50.00,0
206,78,7A,9900.00,9950.00,-50.00,0
207,00,1F,9850.00,9900.00,-50.00,0
208,00,00,9900.00,9950.00,-50.00,1
209,00,00,9850.00,9950.00,-100.00,1
210,00,00,9900.00,9900.00,0.00,1
211,FF,A5,9850.00,9950.00,-100.00,0
212,07,08,9900.00,9950.00,-50.00,0
213,00,00,9850.00,9900.00,-50.00,1
214,00,00,9900.00,9950.00,-50.00,1
215,00,00,9850.00,9900.00,-50.00,1
216,00,00,9900.00,9950.00,-50.00,1
217,5B,F2,9850.00,9900.00,-50.00,0
218,FF,00,49538800.00,8453300.00,41085500.00,0
219,FF,FF,10950.00,41252600.00,-41241650.00,1
220,02,FF,10950.00,11000.00,-50.00,0
221,04,07,10950.00,10950.00,0.00,0
222,02,04,11000.00,10950.00,50.00,0
223,38,02,10950.00,11000.00,-50.00,0
224,11,38,36850.00,10950.00,25900.00,0
225,AE,11,105650.00,124600.00,-18950.00,0
226,FF,A9,26050.00,124550.00,-98500.00,0
227,FF,FF,9900.00,42100.00,-32200.00,1
228,02,FF,9850.00,9950.00,-100.00,0
229,13,07,9850.00,9900.00,-50.00,0
230,00,13,9900.00,9950.00,-50.00,0
231,03,00,9850.00,9900.00,-50.00,0
232,08,A5,9900.00,9950.00,-50.00,0
233,00,08,9850.00,9950.00,-100.00,0
234,00,00,9900.00,9900.00,0.00,1
235,00,00,9900.00,9950.00,-50.00,1
236,04,00,9850.00,9900.00,-50.00,0
237,78,00,9900.00,9950.00,-50.00,0
238,00,7A,9850.00,9950.00,-100.00,0
239,00,1F,9850.00,9900.00,-50.00,0
240,00,00,9900.00,9950.00,-50.00,1
241,00,00,9900.00,9950.00,-50.00,1
242,FF,00,9850.00,9900.00,-50.00,0
243,07,A5,9900.00,9950.00,-50.00,0
244,00,08,9850.00,9950.00,-100.00,0
245,00,00,9850.00,9900.00,-50.00,1
246,00,00,9900.00,9950.00,-50.00,1
247,00,00,9850.00,9900.00,-50.00,1
248,5D,00,9900.00,9950.00,-50.00,0
249,FF,F2,50135650.00,9950.00,50125700.00,0
250,FF,FF,10950.00,49637050.00,-49626100.00,1
251,02,FF,11000.00,10950.00,50.00,0
252,04,07,10950.00,11000.00,-50.00,0
253,02,04,10950.00,10950.00,0.00,0
254,38,02,10950.00,10950.00,0.00,0
255,11,38,91700.00,11000.00,80700.00,0
256,AE,11,127500.00,50800.00,76700.00,0
257,FF,A9,25350.00,106700.00,-81350.00,0
258,FF,FF,9900.00,44150.00,-34250.00,1
259,02,FF,9850.00,9950.00,-100.00,0
260,13,07,9850.00,9950.00,-100.00,0
261,00,13,9900.00,9900.00,0.00,0
262,03,00,9850.00,9950.00,-100.00,0
263,08,A5,9900.00,9900.00,0.00,0
264,00,08,9850.00,9950.00,-100.00,0
265,00,00,9900.00,9900.00,0.00,1
266,00,00,9850.00,9950.00,-100.00,1
267,00,00,9900.00,9950.00,-50.00,1
268,78,00,9850.00,9900.00,-50.00,0
269,00,7A,9900.00,9950.00,-50.00,0
270,00,1F,9850.00,9950.00,-100.00,0
271,00,00,9900.00,9900.00,0.00,1
272,00,00,9850.00,9950.00,-100.00,1
273,FF,00,9900.00,9900.00,0.00,0
274,07,A5,9900.00,9950.00,-50.00,0
275,00,08,9850.00,9950.00,-100.00,0
276,00,00,9850.00,9900.00,-50.00,1
277,00,00,9900.00,9950.00,-50.00,1
278,00,00,9850.00,9950.00,-100.00,1
279,61,00,9900.00,9900.00,0.00,0
280,FF,F2,48648800.00,9950.00,48638850.00,0
281,FF,FF,10950.00,49525700.00,-49514750.00,1
282,02,FF,11000.00,10950.00,50.00,0
283,04,07,10950.00,10950.00,0.00,0
284,02,04,10950.00,10950.00,0.00,0
285,38,02,10950.00,10950.00,0.00,0
286,11,38,45850.00,10950.00,34900.00,0
287,AE,11,105700.00,41850.00,63850.00,0
288,FF,A9,25850.00,106600.00,-80750.00,0
289,FF,FF,9900.00,42950.00,-33050.00,1
290,02,FF,9850.00,9950.00,-100.00,0
291,13,07,9900.00,9950.00,-50.00,0
292,00,13,9850.00,9900.00,-50.00,0
293,03,00,9900.00,9950.00,-50.00,0
294,08,A5,9850.00,9950.00,-100.00,0
295,00,08,9900.00,9900.00,0.00,0
296,00,00,9850.00,9950.00,-100.00,1
297,01,00,9900.00,9950.00,-50.00,0
298,00,00,9850.00,9900.00,-50.00,1
299,78,00,9900.00,9950.00,-50.00,0
300,00,7A,9850.00,9950.00,-100.00,0
301,00,1F,9900.00,9900.00,0.00,0
302,00,00,9850.00,9950.00,-100.00,1
303,00,00,9900.00,9950.00,-50.00,1
304,FF,00,9850.00,9900.00,-50.00,0
305,07,A5,9900.00,9950.00,-50.00,0
306,00,08,9850.00,9950.00,-100.00,0
307,00,00,9900.00,9900.00,0.00,1
308,00,00,9850.00,9950.00,-100.00,1
309,00,00,9900.00,9950.00,-50.00,1
310,60,00,9850.00,9900.00,-50.00,0
311,FF,F2,50091750.00,9950.00,50081800.00,0
312,FF,FF,10950.00,49523250.00,-49512300.00,1
313,02,FF,10950.00,11000.00,-50.00,0
314,04,07,11000.00,10950.00,50.00,0
315,02,04,10950.00,10950.00,0.00,0
316,38,02,10950.00,10950.00,0.00,0
317,11,38,95700.00,10950.00,84750.00,0
318,AE,11,111550.00,104600.00,6950.00,0
319,FF,A9,26050.00,101600.00,-75550.00,0
320,FF,FF,9900.00,43750.00,-33850.00,1
321,02,FF,9850.00,9950.00,-100.00,0
322,13,07,9850.00,9950.00,-100.00,0
323,00,13,9900.00,9900.00,0.00,0
324,03,00,9850.00,9950.00,-100.00,0
325,08,A5,9900.00,9950.00,-50.00,0
326,00,08,9850.00,9900.00,-50.00,0
327,00,00,9900.00,9950.00,-50.00,1
328,02,00,9850.00,9950.00,-100.00,0
329,00,00,9900.00,9900.00,0.00,1
330,78,00,9850.00,9950.00,-100.00,0
331,00,76,9900.00,9950.00,-50.00,0
332,00,1F,9850.00,9900.00,-50.00,0
333,00,00,9900.00,9950.00,-50.00,1
334,00,00,9850.00,9950.00,-100.00,1
335,FF,00,9900.00,9950.00,-50.00,0
336,07,A5,9900.00,9900.00,0.00,0
337,00,08,9850.00,9950.00,-100.00,0
338,00,00,9850.00,9950.00,-100.00,1
339,00,00,9900.00,9900.00,0.00,1
340,00,00,9850.00,9950.00,-100.00,1
341,5F,00,9900.00,9950.00,-50.00,0
342,FF,F6,49356300.00,9900.00,49346400.00,0
343,FF,FF,10950.00,49471700.00,-49460750.00,1
344,02,FF,11000.00,10950.00,50.00,0
345,04,07,10950.00,10950.00,0.00,0
346,02,04,10950.00,11000.00,-50.00,0
347,38,02,10950.00,10950.00,0.00,0
348,11,38,10950.00,10950.00,0.00,0
349,AE,11,61800.00,118600.00,-56800.00,0
350,FF,A9,25550.00,183300.00,-157750.00,0
351,FF,FF,9850.00,44950.00,-35100.00,1
352,02,FF,9900.00,9950.00,-50.00,0
353,13,07,9850.00,9900.00,-50.00,0
354,00,13,9850.00,9950.00,-100.00,0
355,03,00,9900.00,9900.00,0.00,0
356,08,A5,9850.00,9950.00,-100.00,0
357,00,08,9900.00,9950.00,-50.00,0
358,00,00,9850.00,9950.00,-100.00,1
359,03,00,9900.00,9900.00,0.00,0
360,00,00,9850.00,9950.00,-100.00,1
361,78,00,9900.00,9950.00,-50.00,0
362,00,7A,9850.00,9900.00,-50.00,0
363,00,1F,9900.00,9950.00,-50.00,0
364,00,00,9850.00,9950.00,-100.00,1
365,00,00,9900.00,9900.00,0.00,1
366,FF,00,9850.00,9950.00,-100.00,0
367,07,A5,9900.00,9950.00,-50.00,0
368,00,08,9850.00,9950.00,-100.00,0
369,00,00,9900.00,9900.00,0.00,1
370,00,00,9850.00,9950.00,-100.00,1
371,00,00,9900.00,9950.00,-50.00,1
372,5E,00,9850.00,9900.00,-50.00,0
373,00,F2,2173650.00,9950.00,2163700.00,0
374,50,FF,568450.00,49258450.00,-48690000.00,0
375,FF,FF,47376200.00,10950.00,47365250.00,1
376,FF,07,10950.00,11000.00,-50.00,0
377,02,04,10950.00,10950.00,0.00,0
378,04,02,11000.00,10950.00,50.00,0
379,02,38,10950.00,11000.00,-50.00,0
380,38,11,10950.00,79800.00,-68850.00,0
381,11,A9,70700.00,111650.00,-40950.00,0
382,AE,FF,132500.00,45650.00,86850.00,0
383,FF,FF,25650.00,9950.00,15700.00,1
384,FF,07,9900.00,9900.00,0.00,0
385,02,13,9850.00,9950.00,-100.00,0
386,13,00,9900.00,9900.00,0.00,0
