Id,OursHex,OemHex,VirtHex,OursDelta[ns],OemDelta[ns],VirtDelta[ns],OemMinusOurs[ns],VirtMinusOurs[ns],VirtMinusOem[ns]
79,80,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
80,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
81,04,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
82,78,7A,7A,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
83,00,19,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
84,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
85,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
86,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
87,01,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
88,00,08,07,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
89,00,00,9B,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
90,00,00,03,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
91,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
92,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
93,CE,A4,E5,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
94,FF,FF,FF,50144600.00,49457350.00,48987050.00,-687250.00,-1157550.00,-470300.00
95,FF,FF,FF,10950.00,10950.00,10950.00,0.00,0.00,0.00
96,02,0D,03,11000.00,10950.00,11000.00,-50.00,0.00,50.00
97,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
98,02,02,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
99,38,38,38,10950.00,11000.00,10950.00,50.00,0.00,-50.00
100,11,11,11,104600.00,70700.00,34900.00,-33900.00,-69700.00,-35800.00
101,AE,A3,AD,126550.00,62800.00,127550.00,-63750.00,1000.00,64750.00
102,FF,FF,FF,56950.00,45750.00,43150.00,-11200.00,-13800.00,-2600.00
