Id,DeltaTime[ns],0:UART: RX/TX
344,11000.00,FF
345,10950.00,02
346,10950.00,04
347,11000.00,02
348,10950.00,38
349,129550.00,11
350,121600.00,AE
351,56500.00,FF
352,12800.00,FF
353,12850.00,02
354,12850.00,13
355,12850.00,00
356,12800.00,00
357,12850.00,00
358,12850.00,00
359,12850.00,80
360,12850.00,1F
361,12800.00,04
362,12850.00,78
363,12850.00,00
364,12850.00,00
365,12800.00,00
366,12850.00,00
367,12850.00,01
368,12850.00,00
369,12800.00,00
370,12850.00,00
371,12850.00,00
372,12850.00,00
373,12800.00,CE
374,49175900.00,FF
375,10950.00,FF
376,10950.00,02
377,10950.00,04
378,11000.00,02
379,10950.00,38
380,115550.00,11
381,127600.00,AE
382,58400.00,FF
383,12800.00,FF
384,12850.00,02
385,12850.00,13
386,12800.00,00
387,12850.00,00
388,12850.00,00
389,12850.00,00
390,12800.00,80
391,12850.00,1F
392,12850.00,04
393,12850.00,78
394,12800.00,00
395,12850.00,00
396,12850.00,00
397,12850.00,00
398,12800.00,01
399,13850.00,00
400,12850.00,00
401,12800.00,00
402,12850.00,00
403,12850.00,00
404,12850.00,CE
405,49176300.00,FF
406,10950.00,FF
407,10950.00,02
408,10950.00,04
409,11000.00,02
410,10950.00,38
411,83650.00,11
412,126550.00,AE
413,36150.00,FF
414,12850.00,FF
415,12850.00,02
416,12800.00,13
417,12850.00,00
418,12850.00,00
419,12850.00,00
420,12800.00,00
421,12850.00,80
422,12850.00,1F
423,12850.00,04
424,12850.00,78
425,12800.00,00
426,12850.00,00
427,12850.00,00
428,12850.00,00
429,12850.00,01
430,12800.00,00
431,12850.00,00
432,12850.00,00
433,12850.00,00
434,12800.00,00
435,12850.00,CE
436,49400900.00,FF
437,10950.00,FF
438,10950.00,02
439,10950.00,04
440,11000.00,02
441,10950.00,38
442,93650.00,11
443,104600.00,AE
444,57350.00,FF
445,12800.00,FF
446,12850.00,02
447,12850.00,13
448,12850.00,00
449,12800.00,00
450,12850.00,00
451,12850.00,00
452,12850.00,80
453,12800.00,1F
454,12850.00,04
455,12850.00,78
456,12850.00,00
457,12850.00,00
458,12800.00,00
459,12850.00,00
