Id,DeltaTime[ns],0:UART: RX/TX
340,9950.00,00
341,9950.00,E1
342,50121400.00,FF
343,10950.00,FF
344,11000.00,03
345,10950.00,04
346,10950.00,02
347,10950.00,38
348,120550.00,11
349,57800.00,AD
350,43700.00,FF
351,9950.00,FF
352,9950.00,03
353,9950.00,13
354,9950.00,00
355,9950.00,6F
356,9950.00,07
357,9950.00,00
358,10000.00,00
359,9950.00,00
360,9950.00,00
361,9950.00,7A
362,9950.00,00
363,9950.00,00
364,9950.00,00
365,9950.00,00
366,9950.00,6F
367,9950.00,07
368,9950.00,9F
369,10000.00,03
370,9950.00,00
371,9950.00,00
372,9950.00,E1
373,49001850.00,FF
374,10950.00,FF
375,10950.00,03
376,11000.00,04
377,10950.00,02
378,10950.00,38
379,16950.00,11
380,113600.00,AD
381,42500.00,FF
382,9950.00,FF
383,9950.00,03
384,9950.00,13
385,9950.00,00
386,9950.00,6F
387,10000.00,07
388,9950.00,00
389,9950.00,00
390,9950.00,00
391,9950.00,00
392,9950.00,7A
393,9950.00,00
394,9950.00,00
395,9950.00,00
396,10000.00,00
397,9950.00,6F
398,9950.00,07
399,9950.00,9F
400,9950.00,03
401,9950.00,00
402,9950.00,00
403,10000.00,E1
404,49628350.00,FF
405,10950.00,FF
406,10950.00,03
407,11000.00,04
408,10950.00,02
409,10950.00,38
410,111650.00,11
411,59800.00,AD
412,45350.00,FF
413,9950.00,FF
414,9950.00,03
415,9950.00,13
416,10000.00,00
417,9950.00,6F
418,9950.00,07
419,9950.00,00
420,9950.00,00
421,9950.00,00
422,10000.00,00
423,9950.00,7A
424,9950.00,00
425,9950.00,00
426,9950.00,00
427,9950.00,00
428,10000.00,6F
429,9950.00,07
430,9950.00,A0
431,9950.00,03
432,9950.00,00
433,9950.00,00
434,10000.00,E0
435,50134200.00,FF
436,11000.00,FF
437,10950.00,03
438,10950.00,04
439,10950.00,02
440,11000.00,38
441,77700.00,11
442,63800.00,AD
443,45550.00,FF
444,9950.00,FF
445,9950.00,03
446,9950.00,13
447,9950.00,00
448,9950.00,6F
449,10000.00,07
450,9950.00,00
451,9950.00,00
452,9950.00,00
453,9950.00,00
454,9950.00,7A
455,9950.00,00
456,9950.00,00
457,10000.00,00
458,9950.00,00
459,9950.00,6F
460,9950.00,07
461,9950.00,A0
462,9950.00,03
463,9950.00,00
464,10000.00,00
465,9950.00,E0
466,48914050.00,FF
467,10950.00,FF
468,10950.00,03
469,11000.00,04
470,10950.00,02
471,10950.00,38
472,52850.00,11
473,106650.00,AD
474,42550.00,FF
475,10000.00,FF
476,9950.00,03
477,9950.00,13
478,9950.00,00
479,9950.00,6F
480,9950.00,07
481,9950.00,00
482,9950.00,00
483,10000.00,00
484,9950.00,00
485,9950.00,7A
486,9950.00,00
487,9950.00,00
488,9950.00,00
489,9950.00,00
490,9950.00,6F
491,10000.00,07
492,9950.00,A1
493,9950.00,03
494,9950.00,00
495,9950.00,00
496,9950.00,DF
497,49421100.00,FF
498,11000.00,FF
499,10950.00,03
500,10950.00,04
501,11000.00,02
502,10950.00,38
503,95700.00,11
504,133550.00,AD
505,43150.00,FF
506,9950.00,FF
507,9950.00,03
508,10000.00,13
509,9950.00,00
510,9950.00,6F
511,9950.00,07
512,9950.00,00
513,9950.00,00
514,9950.00,00
515,9950.00,00
516,9950.00,7A
517,10000.00,00
518,9950.00,00
519,9950.00,00
520,9950.00,00
521,9950.00,6F
522,9950.00,07
523,10000.00,A0
524,9950.00,03
525,9950.00,00
526,9950.00,00
527,9950.00,E0
528,7763000.00,00
529,41522250.00,FF
530,11000.00,FF
531,10950.00,03
532,10950.00,04
533,11000.00,02
534,10950.00,38
535,147500.00,11
536,152550.00,AD
537,48950.00,FF
538,9950.00,FF
539,9950.00,03
540,9950.00,13
541,9950.00,00
542,9950.00,6F
543,9950.00,07
544,9950.00,00
545,10000.00,00
546,9950.00,00
547,9950.00,00
548,9950.00,7A
549,9950.00,00
550,9950.00,00
551,9950.00,00
552,10000.00,00
553,9950.00,6F
554,9950.00,07
555,9950.00,A2
556,9950.00,03
557,9950.00,00
558,10000.00,00
559,9950.00,DE
560,49978900.00,FF
561,10950.00,FF
562,10950.00,03
563,10950.00,04
