Id,SingleHex,MultiHex,SingleDelta[ns],MultiDelta[ns],DiffDelta[ns],SameByte
601,02,02,12850.00,12800.00,-50.00,1
602,13,13,12850.00,12850.00,0.00,1
603,00,00,12800.00,12850.00,50.00,1
604,00,00,12850.00,12850.00,0.00,1
605,00,00,12850.00,12800.00,-50.00,1
606,00,00,12850.00,12850.00,0.00,1
607,80,00,12800.00,12850.00,50.00,0
608,1F,20,12850.00,12850.00,0.00,0
609,04,04,12850.00,12800.00,-50.00,1
610,78,78,12850.00,12850.00,0.00,1
611,00,00,12800.00,12850.00,50.00,1
612,00,00,12850.00,12850.00,0.00,1
613,00,00,12850.00,12850.00,0.00,1
614,00,00,12850.00,12800.00,-50.00,1
615,01,01,12800.00,12850.00,50.00,1
616,00,00,12850.00,12850.00,0.00,1
617,00,00,12850.00,12850.00,0.00,1
618,00,00,12850.00,12800.00,-50.00,1
619,00,00,12800.00,12850.00,50.00,1
620,00,00,12850.00,12850.00,0.00,1
621,CE,4D,12850.00,12850.00,0.00,0
