Id,SingleHex,MultiHex,SingleDelta[ns],MultiDelta[ns],DiffDelta[ns],SameByte
138,00,00,12800.00,12850.00,50.00,1
139,00,00,12850.00,12850.00,0.00,1
140,00,00,12850.00,12850.00,0.00,1
141,80,00,12850.00,12850.00,0.00,0
142,1F,20,12850.00,12800.00,-50.00,0
143,04,04,12800.00,12850.00,50.00,1
144,78,78,12850.00,12850.00,0.00,1
145,00,00,12850.00,12850.00,0.00,1
146,00,00,12850.00,12800.00,-50.00,1
147,00,00,12800.00,12850.00,50.00,1
148,00,00,12850.00,12850.00,0.00,1
149,01,01,12850.00,12850.00,0.00,1
150,00,00,12850.00,12800.00,-50.00,1
151,00,00,12850.00,12850.00,0.00,1
152,00,00,12850.00,12850.00,0.00,1
153,00,00,12800.00,12850.00,50.00,1
154,00,00,12850.00,12850.00,0.00,1
155,CE,4D,12850.00,12800.00,-50.00,0
156,FF,FF,48704700.00,49791650.00,1086950.00,1
157,FF,FF,10950.00,10950.00,0.00,1
158,02,02,11000.00,11000.00,0.00,1
159,04,04,10950.00,10950.00,0.00,1
160,02,02,10950.00,10950.00,0.00,1
161,38,38,11000.00,10950.00,-50.00,1
162,11,11,64800.00,66850.00,2050.00,1
163,AE,AE,107700.00,100650.00,-7050.00,1
164,FF,FF,36300.00,36300.00,0.00,1
165,FF,FF,12850.00,12850.00,0.00,1
166,02,02,12850.00,12800.00,-50.00,1
167,13,13,12850.00,12850.00,0.00,1
168,00,00,12800.00,12850.00,50.00,1
169,00,00,12850.00,12850.00,0.00,1
170,00,00,12850.00,12850.00,0.00,1
171,00,00,12850.00,12850.00,0.00,1
172,80,00,12800.00,12800.00,0.00,0
173,1F,20,12850.00,12850.00,0.00,0
174,04,04,12850.00,12850.00,0.00,1
175,78,78,12850.00,12850.00,0.00,1
176,00,00,12800.00,12850.00,50.00,1
177,00,00,12850.00,12850.00,0.00,1
178,00,00,12850.00,12800.00,-50.00,1
179,00,00,12850.00,12850.00,0.00,1
180,01,01,12800.00,12850.00,50.00,1
181,00,00,12850.00,12850.00,0.00,1
182,00,00,12850.00,12850.00,0.00,1
183,00,00,12850.00,12800.00,-50.00,1
184,00,00,12800.00,12850.00,50.00,1
185,00,00,12850.00,12850.00,0.00,1
186,CE,4D,12850.00,12850.00,0.00,0
187,00,FF,14438300.00,49233200.00,34794900.00,0
188,FF,FF,35648700.00,10950.00,-35637750.00,1
189,FF,02,11000.00,10950.00,-50.00,0
190,02,04,10950.00,11000.00,50.00,0
191,04,02,10950.00,10950.00,0.00,0
192,02,38,11000.00,11950.00,950.00,0
193,38,11,10950.00,133550.00,122600.00,0
194,11,AE,106600.00,140500.00,33900.00,0
195,AE,FF,132550.00,57950.00,-74600.00,0
196,FF,FF,56950.00,12850.00,-44100.00,1
197,FF,02,12850.00,12850.00,0.00,0
198,02,13,12800.00,12800.00,0.00,0
199,13,00,12850.00,12850.00,0.00,0
200,00,00,12850.00,12850.00,0.00,1
201,00,00,12850.00,12850.00,0.00,1
202,00,00,12800.00,12850.00,50.00,1
203,00,00,12850.00,12800.00,-50.00,1
204,80,20,12850.00,12850.00,0.00,0
205,1F,04,12850.00,12850.00,0.00,0
206,04,78,12800.00,12850.00,50.00,0
207,78,00,12850.00,12800.00,-50.00,0
208,00,00,12850.00,12850.00,0.00,1
209,00,00,12850.00,12850.00,0.00,1
210,00,00,12800.00,12850.00,50.00,1
211,00,01,12850.00,12850.00,0.00,0
212,01,00,12850.00,12800.00,-50.00,0
213,00,00,12800.00,12850.00,50.00,1
