from_id,to_id,from_time_ns,to_time_ns,delta_ns,delta_us,delta_ms,from_byte,to_byte
1,2,26294400.00,26305450.00,11050.00,11.050000,0.011050000,FF,FF
2,3,26305450.00,26316450.00,11000.00,11.000000,0.011000000,FF,01
3,4,26316450.00,26327500.00,11050.00,11.050000,0.011050000,01,04
4,5,26327500.00,26338500.00,11000.00,11.000000,0.011000000,04,02
5,6,26338500.00,26349550.00,11050.00,11.050000,0.011050000,02,38
6,7,26349550.00,26411650.00,62100.00,62.100000,0.062100000,38,11
7,8,26411650.00,26478800.00,67150.00,67.150000,0.067150000,11,AF
8,9,26478800.00,26535550.00,56750.00,56.750000,0.056750000,AF,FF
9,10,26535550.00,26548400.00,12850.00,12.850000,0.012850000,FF,FF
10,11,26548400.00,26561250.00,12850.00,12.850000,0.012850000,FF,01
11,12,26561250.00,26574100.00,12850.00,12.850000,0.012850000,01,13
12,13,26574100.00,26586950.00,12850.00,12.850000,0.012850000,13,00
13,14,26586950.00,26599800.00,12850.00,12.850000,0.012850000,00,21
14,15,26599800.00,26612650.00,12850.00,12.850000,0.012850000,21,0B
15,16,26612650.00,26625500.00,12850.00,12.850000,0.012850000,0B,00
16,17,26625500.00,26638350.00,12850.00,12.850000,0.012850000,00,80
17,18,26638350.00,26651250.00,12900.00,12.900000,0.012900000,80,22
18,19,26651250.00,26664100.00,12850.00,12.850000,0.012850000,22,04
19,20,26664100.00,26676950.00,12850.00,12.850000,0.012850000,04,2E
20,21,26676950.00,26689800.00,12850.00,12.850000,0.012850000,2E,00
21,22,26689800.00,26702650.00,12850.00,12.850000,0.012850000,00,00
22,23,26702650.00,26715500.00,12850.00,12.850000,0.012850000,00,00
23,24,26715500.00,26728350.00,12850.00,12.850000,0.012850000,00,01
24,25,26728350.00,26741200.00,12850.00,12.850000,0.012850000,01,32
25,26,26741200.00,26754050.00,12850.00,12.850000,0.012850000,32,0B
26,27,26754050.00,26766900.00,12850.00,12.850000,0.012850000,0B,00
27,28,26766900.00,26779800.00,12900.00,12.900000,0.012900000,00,00
28,29,26779800.00,26792650.00,12850.00,12.850000,0.012850000,00,00
29,30,26792650.00,26805500.00,12850.00,12.850000,0.012850000,00,00
30,31,26805500.00,26818350.00,12850.00,12.850000,0.012850000,00,AD
31,32,26818350.00,76071600.00,49253250.00,49253.250000,49.253250000,AD,FF
32,33,76071600.00,76082600.00,11000.00,11.000000,0.011000000,FF,FF
33,34,76082600.00,76093600.00,11000.00,11.000000,0.011000000,FF,01
34,35,76093600.00,76104650.00,11050.00,11.050000,0.011050000,01,04
35,36,76104650.00,76115650.00,11000.00,11.000000,0.011000000,04,02
36,37,76115650.00,76126700.00,11050.00,11.050000,0.011050000,02,38
37,38,76126700.00,76227850.00,101150.00,101.150000,0.101150000,38,11
38,39,76227850.00,76324000.00,96150.00,96.150000,0.096150000,11,AF
39,40,76324000.00,76380750.00,56750.00,56.750000,0.056750000,AF,FF
40,41,76380750.00,76393600.00,12850.00,12.850000,0.012850000,FF,FF
41,42,76393600.00,76406450.00,12850.00,12.850000,0.012850000,FF,01
42,43,76406450.00,76419300.00,12850.00,12.850000,0.012850000,01,13
43,44,76419300.00,76432150.00,12850.00,12.850000,0.012850000,13,00
