pkt_idx,kind,start_ns,end_ns,duration_us,gap_from_prev_start_ns,gap_from_prev_start_ms,gap_from_prev_end_ns,gap_from_prev_end_ms,id,len,inst_or_err,checksum_ok,hex,note
20,req,525725800.00,525892100.00,166.300,48923850.00,48.923850,48641100.00,48.641100,01,04,02,1,FF FF 01 04 02 38 11 AF,
21,resp,525950550.00,526233300.00,282.750,224750.00,0.224750,58450.00,0.058450,01,13,00,1,FF FF 01 13 00 21 0B 00 80 56 04 2E 00 00 00 01 32 0B 00 00 00 00 79,
22,req,575812050.00,576093550.00,281.500,49861500.00,49.861500,49578750.00,49.578750,01,04,02,1,FF FF 01 04 02 38 11 AF,
23,resp,576130550.00,576413350.00,282.800,318500.00,0.318500,37000.00,0.037000,01,13,00,1,FF FF 01 13 00 21 0B 00 80 5B 04 2E 00 00 00 01 32 0B 00 00 00 00 74,
24,req,626484950.00,626626200.00,141.250,50354400.00,50.354400,50071600.00,50.071600,01,04,02,1,FF FF 01 04 02 38 11 AF,
25,resp,626684650.00,626967450.00,282.800,199700.00,0.199700,58450.00,0.058450,01,13,00,1,FF FF 01 13 00 21 0B 00 80 60 04 2E 00 00 00 01 32 0B 01 00 00 00 6E,
26,req,676236000.00,676418450.00,182.450,49551350.00,49.551350,49268550.00,49.268550,01,04,02,1,FF FF 01 04 02 38 11 AF,
27,resp,676476500.00,676759300.00,282.800,240500.00,0.240500,58050.00,0.058050,01,13,00,1,FF FF 01 13 00 21 0B 00 80 65 04 2E 00 00 00 01 32 0B 00 00 00 00 6A,
28,req,726071450.00,726180700.00,109.250,49594950.00,49.594950,49312150.00,49.312150,01,04,02,1,FF FF 01 04 02 38 11 AF,
29,resp,726239000.00,726521800.00,282.800,167550.00,0.167550,58300.00,0.058300,01,13,00,1,FF FF 01 13 00 21 0B 00 80 6A 04 2E 00 00 00 01 32 0B 00 00 00 00 65,
30,req,776067350.00,776200600.00,133.250,49828350.00,49.828350,49545550.00,49.545550,01,04,02,1,FF FF 01 04 02 38 11 AF,
31,resp,776238750.00,776521550.00,282.800,171400.00,0.171400,38150.00,0.038150,01,13,00,1,FF FF 01 13 00 23 0B 01 00 6F 04 2E 00 00 00 01 32 0B 00 00 00 00 DD,
32,req,826553500.00,826735950.00,182.450,50314750.00,50.314750,50031950.00,50.031950,01,04,02,1,FF FF 01 04 02 38 11 AF,
33,resp,826792500.00,827075300.00,282.800,239000.00,0.239000,56550.00,0.056550,01,13,00,1,FF FF 01 13 00 25 0B 0C 00 71 04 2E 00 00 00 01 32 0B 00 00 00 00 CE,
34,req,875812000.00,876052550.00,240.550,49019500.00,49.019500,48736700.00,48.736700,01,04,02,1,FF FF 01 04 02 38 11 AF,
35,resp,876109700.00,876393400.00,283.700,297700.00,0.297700,57150.00,0.057150,01,13,00,1,FF FF 01 13 00 27 0B 17 00 72 04 2E 00 00 00 00 32 0B 00 00 00 00 C1,
36,req,926562700.00,926828300.00,265.600,50453000.00,50.453000,50169300.00,50.169300,01,04,02,1,FF FF 01 04 02 38 11 AF,
37,resp,926885400.00,927168100.00,282.700,322700.00,0.322700,57100.00,0.057100,01,13,00,1,FF FF 01 13 00 2A 0B 27 00 71 04 2E 00 00 00 00 32 0B 00 00 00 00 AF,
38,req,976766350.00,977008750.00,242.400,49880950.00,49.880950,49598250.00,49.598250,01,04,02,1,FF FF 01 04 02 38 11 AF,
39,resp,977045350.00,977329150.00,283.800,279000.00,0.279000,36600.00,0.036600,01,13,00,1,FF FF 01 13 00 2D 0B 32 00 6E 04 2E 00 00 00 00 32 0B 00 00 00 00 A4,
