pkt_idx,kind,start_ns,end_ns,duration_us,gap_from_prev_start_ns,gap_from_prev_start_ms,gap_from_prev_end_ns,gap_from_prev_end_ms,id,len,inst_or_err,checksum_ok,hex,note
0,req,26294400.00,26478800.00,184.400,,,,,01,04,02,1,FF FF 01 04 02 38 11 AF,
1,resp,26535550.00,26818350.00,282.800,241150.00,0.241150,56750.00,0.056750,01,13,00,1,FF FF 01 13 00 21 0B 00 80 22 04 2E 00 00 00 01 32 0B 00 00 00 00 AD,
2,req,76071600.00,76324000.00,252.400,49536050.00,49.536050,49253250.00,49.253250,01,04,02,1,FF FF 01 04 02 38 11 AF,
3,resp,76380750.00,76663500.00,282.750,309150.00,0.309150,56750.00,0.056750,01,13,00,1,FF FF 01 13 00 21 0B 00 80 27 04 2E 00 00 00 01 32 0B 00 00 00 00 A8,
4,req,126550350.00,126721700.00,171.350,50169600.00,50.169600,49886850.00,49.886850,01,04,02,1,FF FF 01 04 02 38 11 AF,
5,resp,126780250.00,127063050.00,282.800,229900.00,0.229900,58550.00,0.058550,01,13,00,1,FF FF 01 13 00 21 0B 00 80 2C 04 2E 00 00 00 01 32 0B 00 00 00 00 A3,
6,req,176495000.00,176642200.00,147.200,49714750.00,49.714750,49431950.00,49.431950,01,04,02,1,FF FF 01 04 02 38 11 AF,
7,resp,176678100.00,176960900.00,282.800,183100.00,0.183100,35900.00,0.035900,01,13,00,1,FF FF 01 13 00 21 0B 00 80 32 04 2E 00 00 00 01 32 0B 00 00 00 00 9D,
8,req,225892700.00,226100050.00,207.350,49214600.00,49.214600,48931800.00,48.931800,01,04,02,1,FF FF 01 04 02 38 11 AF,
9,resp,226158500.00,226441250.00,282.750,265800.00,0.265800,58450.00,0.058450,01,13,00,1,FF FF 01 13 00 21 0B 00 80 37 04 2E 00 00 00 01 32 0B 00 00 00 00 98,
10,req,276261900.00,276508300.00,246.400,50103400.00,50.103400,49820650.00,49.820650,01,04,02,1,FF FF 01 04 02 38 11 AF,
11,resp,276565850.00,276848600.00,282.750,303950.00,0.303950,57550.00,0.057550,01,13,00,1,FF FF 01 13 00 21 0B 00 80 3C 04 2E 00 00 00 01 32 0B 00 00 00 00 93,
12,req,326144950.00,326414550.00,269.600,49579100.00,49.579100,49296350.00,49.296350,01,04,02,1,FF FF 01 04 02 38 11 AF,
13,resp,326471350.00,326754100.00,282.750,326400.00,0.326400,56800.00,0.056800,01,13,00,1,FF FF 01 13 00 21 0B 00 80 41 04 2E 00 00 00 01 32 0B 00 00 00 00 8E,
14,req,376242050.00,376415400.00,173.350,49770700.00,49.770700,49487950.00,49.487950,01,04,02,1,FF FF 01 04 02 38 11 AF,
15,resp,376452100.00,376734800.00,282.700,210050.00,0.210050,36700.00,0.036700,01,13,00,1,FF FF 01 13 00 21 0B 00 80 46 04 2E 00 00 00 01 32 0B 00 00 00 00 89,
16,req,425804400.00,426071900.00,267.500,49352300.00,49.352300,49069600.00,49.069600,01,04,02,1,FF FF 01 04 02 38 11 AF,
17,resp,426129100.00,426411850.00,282.750,324700.00,0.324700,57200.00,0.057200,01,13,00,1,FF FF 01 13 00 21 0B 00 80 4B 04 2E 00 00 00 01 32 0B 00 00 00 00 84,
18,req,476540250.00,476743600.00,203.350,50411150.00,50.411150,50128400.00,50.128400,01,04,02,1,FF FF 01 04 02 38 11 AF,
19,resp,476801950.00,477084700.00,282.750,261700.00,0.261700,58350.00,0.058350,01,13,00,1,FF FF 01 13 00 21 0B 00 80 51 04 2E 00 00 00 01 32 0B 00 00 00 00 7E,
