Id,Time[ns],0:UART: RX/TX
1,32456600.00,FF
2,32467650.00,FF
3,32478650.00,02
4,32489700.00,04
5,32500700.00,02
6,32511700.00,38
7,32562800.00,11
8,32643950.00,AE
9,32686050.00,FF
10,32696050.00,FF
11,32706000.00,02
12,32716000.00,13
13,32726000.00,00
14,32736000.00,0F
15,32746000.00,08
16,32756000.00,00
17,32766000.00,00
18,32776000.00,00
19,32785950.00,00
20,32795950.00,30
21,32805950.00,17
22,32815950.00,00
23,32825950.00,00
24,32835950.00,00
25,32845950.00,0F
26,32855950.00,08
27,32865900.00,00
28,32875900.00,00
29,32885900.00,00
30,32895900.00,00
31,32905900.00,75
32,82415400.00,FF
33,82426400.00,FF
34,82437450.00,02
35,82448450.00,04
36,82459500.00,02
37,82470500.00,38
38,82507600.00,11
39,82593750.00,AE
40,82636700.00,FF
41,82646700.00,FF
42,82656700.00,02
43,82666650.00,13
44,82676650.00,00
45,82686650.00,0F
46,82696650.00,08
47,82706650.00,00
48,82716600.00,00
49,82726600.00,00
50,82736600.00,00
51,82746600.00,30
52,82756600.00,17
53,82766600.00,00
54,82776550.00,00
55,82786550.00,00
56,82796550.00,0F
57,82806550.00,08
58,82816550.00,00
59,82826550.00,00
60,82836550.00,00
61,82846500.00,00
62,82856500.00,75
63,132982100.00,FF
64,132993100.00,FF
65,133004150.00,02
66,133015150.00,04
67,133026200.00,02
68,133037200.00,38
69,133194550.00,11
70,133257650.00,AE
71,133301700.00,FF
72,133311700.00,FF
73,133321700.00,02
74,133331700.00,13
75,133341650.00,00
76,133351650.00,0F
77,133361650.00,08
78,133371650.00,00
79,133381650.00,00
80,133391650.00,00
81,133401650.00,00
82,133411650.00,30
83,133421650.00,17
84,133431600.00,00
85,133441600.00,00
86,133451600.00,00
87,133461600.00,0F
88,133471600.00,08
89,133481600.00,00
90,133491600.00,00
91,133501600.00,00
92,133511550.00,00
93,133521550.00,75
94,182022300.00,FF
95,182033350.00,FF
96,182044350.00,02
97,182055350.00,04
98,182066400.00,02
99,182077400.00,38
100,182189600.00,11
101,182256700.00,AE
102,182306150.00,FF
103,182316100.00,FF
104,182326100.00,02
105,182336100.00,13
106,182346100.00,00
107,182356100.00,0F
108,182366100.00,08
109,182376100.00,00
110,182386100.00,00
111,182396100.00,00
112,182406050.00,00
113,182416050.00,30
114,182426050.00,17
115,182436050.00,00
116,182446050.00,00
117,182456050.00,00
118,182466050.00,0F
119,182476050.00,08
120,182486050.00,00
121,182496050.00,00
122,182506000.00,00
123,182516000.00,00
124,182526000.00,75
125,232792000.00,FF
126,232803050.00,FF
127,232814050.00,02
128,232825050.00,04
129,232836100.00,02
130,232847100.00,38
131,232864150.00,11
132,232933250.00,AE
133,232980700.00,FF
134,232990700.00,FF
135,233000700.00,02
136,233010700.00,13
137,233020700.00,00
138,233030650.00,0F
139,233040650.00,08
140,233050650.00,00
141,233060650.00,00
142,233070650.00,00
143,233080650.00,00
144,233090650.00,30
145,233100650.00,17
146,233110650.00,00
147,233120600.00,00
148,233130600.00,00
149,233140600.00,0F
150,233150600.00,08
151,233160600.00,00
152,233170600.00,00
153,233180600.00,00
154,233190600.00,00
155,233200600.00,75
156,282104450.00,FF
157,282115500.00,FF
158,282126500.00,02
159,282137550.00,04
160,282148550.00,02
161,282159600.00,38
162,282190650.00,11
163,282255800.00,AE
164,282300550.00,FF
165,282310550.00,FF
166,282320550.00,02
167,282330500.00,13
168,282340500.00,00
169,282350500.00,0F
170,282360500.00,08
171,282370500.00,00
172,282380450.00,00
173,282390450.00,00
174,282400450.00,00
175,282410450.00,30
176,282420450.00,17
177,282430400.00,00
178,282440400.00,00
179,282450400.00,00
180,282460400.00,0F
181,282470400.00,08
182,282480400.00,00
183,282490400.00,00
184,282500350.00,00
185,282510350.00,00
186,282520350.00,75
187,332660350.00,FF
188,332671350.00,FF
189,332682350.00,02
190,332693400.00,04
191,332704400.00,02
192,332715450.00,38
193,332890800.00,11
194,332954900.00,AE
195,332999500.00,FF
196,333009500.00,FF
197,333019500.00,02
198,333029500.00,13
199,333039500.00,00
200,333049500.00,0F
201,333059450.00,08
202,333069450.00,00
203,333079450.00,00
204,333089450.00,00
205,333099450.00,00
206,333109450.00,30
207,333119450.00,17
208,333129450.00,00
209,333139450.00,00
210,333149450.00,00
211,333159400.00,0F
212,333169400.00,08
213,333179400.00,00
214,333189400.00,00
215,333199400.00,00
216,333209400.00,00
217,333219400.00,75
218,352473650.00,FF
219,352484650.00,FF
220,352495650.00,FD
221,352506700.00,04
222,352517700.00,02
223,352528750.00,00
224,352540750.00,09
225,352618900.00,F3
226,390664800.00,FF
227,390675850.00,FF
228,390686900.00,00
229,390697900.00,04
230,390708900.00,02
231,390719950.00,00
232,390755000.00,09
233,390824200.00,F0
234,420342450.00,00
235,420353500.00,03
236,420364500.00,00
237,420375550.00,00
238,420386550.00,00
239,420397600.00,04
240,420408600.00,45
241,420419650.00,D8

242,452201800.00,FF
243,452212850.00,FF
244,452223850.00,01
245,452234850.00,04
246,452245900.00,02
247,452256900.00,00
248,452273950.00,09
249,452329100.00,EF
250,452385850.00,FF
251,452398700.00,FF
252,452411550.00,01
253,452424400.00,0B
254,452437250.00,00
255,452450100.00,03
256,452462950.00,0A
257,452475850.00,00
258,452488700.00,09
259,452501550.00,03
260,452514400.00,01
261,452527250.00,00
262,452540100.00,00
263,452552950.00,01
264,452565850.00,D8
265,481240200.00,01
