Id,Time[ns],0:UART: RX/TX
1,35084150.00,FF
2,35095200.00,FF
3,35106200.00,01
4,35117250.00,04
5,35128250.00,02
6,35139300.00,38
7,35151300.00,11
8,35198400.00,AF
9,35254950.00,FF
10,35267800.00,FF
11,35280700.00,01
12,35293550.00,13
13,35306400.00,00
14,35319250.00,1C
15,35332100.00,0B
16,35344950.00,00
17,35357800.00,00
18,35370700.00,80
19,35383550.00,04
20,35396400.00,2C
21,35409250.00,00
22,35422100.00,00
23,35434950.00,00
24,35447850.00,00
25,35460700.00,22
26,35473550.00,0B
27,35486400.00,00
28,35499250.00,00
29,35512100.00,00
30,35524950.00,00
31,35537850.00,E7
32,84627750.00,FF
33,84638750.00,FF
34,84649750.00,01
35,84660800.00,04
36,84671800.00,02
37,84682800.00,38
38,84701850.00,11
39,84759950.00,AF
40,84819200.00,FF
41,84832050.00,FF
42,84844900.00,01
43,84857750.00,13
44,84870650.00,00
45,84883500.00,1C
46,84896350.00,0B
47,84909200.00,00
48,84922050.00,00
49,84934900.00,81
50,84947800.00,04
51,84960650.00,2D
52,84973500.00,00
53,84986350.00,00
54,84999200.00,00
55,85012050.00,00
56,85024900.00,22
57,85037800.00,0B
58,85050650.00,00
59,85063500.00,00
60,85076350.00,00
61,85089200.00,00
62,85102050.00,E5
63,134878900.00,FF
64,134889900.00,FF
65,134900950.00,01
66,134911950.00,04
67,134923000.00,02
68,134934000.00,38
69,134963050.00,11
70,135044200.00,AF
71,135081750.00,FF
72,135094600.00,FF
73,135107450.00,01
74,135120300.00,13
75,135133150.00,00
76,135146000.00,1C
77,135158900.00,0B
78,135171750.00,00
79,135184600.00,00
80,135197450.00,83
81,135210300.00,04
82,135223150.00,2C
83,135236050.00,00
84,135248900.00,00
85,135261750.00,00
86,135274600.00,00
87,135287450.00,22
88,135300300.00,0B
89,135313200.00,00
90,135326050.00,00
91,135338900.00,00
92,135351750.00,00
93,135364600.00,E4
94,184629550.00,FF
95,184640600.00,FF
96,184651600.00,01
97,184662650.00,04
98,184673650.00,02
99,184684700.00,38
100,184724750.00,11
101,184862000.00,AF
102,184919850.00,FF
103,184932700.00,FF
104,184945550.00,01
105,184958400.00,13
106,184971300.00,00
107,184984150.00,1C
108,184997000.00,0B
109,185009850.00,00
110,185022700.00,00
111,185035600.00,85
112,185048450.00,04
113,185061300.00,2C
114,185074150.00,00
115,185087000.00,00
116,185099900.00,00
117,185112750.00,00
118,185125600.00,22
119,185138450.00,0B
120,185151300.00,00
121,185164200.00,00
122,185177050.00,00
123,185189900.00,00
124,185202750.00,E2
125,234473350.00,FF
126,234484400.00,FF
127,234495400.00,01
128,234506450.00,04
129,234517450.00,02
