Id,Time[ns],0:UART: RX/TX
1,9615600.00,FF
2,9626650.00,FF
3,9637650.00,02
4,9648650.00,04
5,9659650.00,02
6,9670700.00,38
7,9698700.00,11
8,9774800.00,AE
9,59841200.00,FF
10,59852200.00,FF
11,59863200.00,02
12,59874250.00,04
13,59885250.00,02
14,59896250.00,38
15,59907300.00,11
16,59970350.00,AE
17,110016600.00,FF
18,110027600.00,FF
19,110038600.00,02
20,110049600.00,04
21,110060600.00,02
22,110071650.00,38
23,110137700.00,11
24,110235850.00,AE
25,159553100.00,FF
26,159564100.00,FF
27,159575100.00,02
28,159586150.00,04
29,159597150.00,02
30,159608200.00,38
31,159700300.00,11
32,159785450.00,AE
33,209844950.00,FF
34,209855950.00,FF
35,209867000.00,02
36,209878000.00,04
37,209889000.00,02
38,209900000.00,38
39,209920050.00,11
40,209987100.00,AE
41,259445850.00,FF
42,259456850.00,FF
43,259467900.00,02
44,259478900.00,04
45,259489900.00,02
46,259500950.00,38
47,259552000.00,11
48,259621100.00,AE
49,310090400.00,FF
50,310101400.00,FF
51,310112450.00,02
52,310123450.00,04
53,310134450.00,02
54,310145500.00,38
55,310182500.00,11
56,310252600.00,AE
57,359368400.00,FF
58,359379400.00,FF
59,359390400.00,02
60,359401450.00,04
61,359412450.00,02
62,359423500.00,38
63,359452550.00,11
64,359557750.00,AE
65,409216300.00,FF
66,409227300.00,FF
67,409238350.00,02
68,409249350.00,04
69,409260350.00,02
70,409271350.00,38
71,409282400.00,11
72,409405500.00,AE
73,459111700.00,FF
74,459122700.00,FF
75,459133700.00,02
76,459144700.00,04
77,459155750.00,02
78,459166750.00,38
79,459222850.00,11
80,459284950.00,AE
81,509664600.00,FF
82,509675600.00,FF
83,509686600.00,02
84,509697650.00,04
85,509708650.00,02
86,509719650.00,38
87,509768750.00,11
88,509831850.00,AE
89,559323000.00,FF
90,559334000.00,FF
91,559345000.00,02
92,559356050.00,04
93,559367050.00,02
94,559378050.00,38
95,559425100.00,11
96,559555300.00,AE
97,609819800.00,FF
98,609830850.00,FF
99,609841850.00,02
100,609852850.00,04
101,609863850.00,02
102,609874900.00,38
103,609891900.00,11
104,609959000.00,AE
105,630169600.00,00
106,630462500.00,01
107,659712000.00,FF
108,659723050.00,FF
109,659734050.00,02
110,659745050.00,04
111,659756100.00,02
112,659767100.00,38
113,659937400.00,11
114,659988500.00,AE
115,709366200.00,FF
116,709377200.00,FF
117,709388200.00,02
118,709399250.00,04
119,709410250.00,02
120,709421250.00,38
121,709442300.00,11
122,709555550.00,AE
123,759939200.00,FF
124,759950200.00,FF
125,759961200.00,02
126,759972250.00,04
127,759983250.00,02
128,759994250.00,38
129,760011300.00,11
130,760138550.00,AE
131,809657850.00,FF
132,809668900.00,FF
133,809679900.00,02
134,809690950.00,04
135,809701950.00,02
136,809712950.00,38
137,809735000.00,11
138,809791100.00,AE
139,859684350.00,FF
140,859695400.00,FF
141,859706400.00,02
142,859717400.00,04
143,859728450.00,02
144,859740450.00,38
145,859752450.00,11
146,859801550.00,AE
147,909751800.00,FF
148,909762800.00,FF
149,909773800.00,02
150,909784850.00,04
151,909795850.00,02
152,909806850.00,38
153,909818900.00,11
154,909936100.00,AE
155,959218550.00,FF
156,959229600.00,FF
157,959240600.00,02
158,959251600.00,04
159,959262650.00,02
160,959273650.00,38
161,959305700.00,11
162,959405900.00,AE
