Id,Time[ns],0:UART: RX/TX
312,532572000.00,FF
313,532582950.00,02
314,532593900.00,04
315,532604900.00,02
316,532615850.00,38
317,532705550.00,11
318,532837150.00,AE
319,532895050.00,FF
320,532907900.00,FF
321,532920750.00,02
322,532933600.00,13
323,532946450.00,00
324,532959250.00,00
325,532972100.00,00
326,532984950.00,00
327,532997800.00,00
328,533010650.00,20
329,533023450.00,04
330,533036300.00,78
331,533049150.00,00
332,533062000.00,00
333,533074850.00,00
334,533087650.00,00
335,533100500.00,01
336,533113350.00,00
337,533126200.00,00
338,533139000.00,00
339,533151850.00,00
340,533164700.00,00
341,533177550.00,4D
342,582030500.00,FF
343,582041450.00,FF
344,582052400.00,02
345,582063400.00,04
346,582074350.00,02
347,582085300.00,38
348,582163000.00,11
349,582344300.00,AE
350,582400850.00,FF
351,582413700.00,FF
352,582426500.00,02
353,582439350.00,13
354,582452200.00,00
355,582465050.00,00
356,582477850.00,00
357,582490700.00,00
358,582503550.00,00
359,582516400.00,20
360,582529200.00,04
361,582542050.00,78
362,582554900.00,00
363,582567750.00,00
364,582580600.00,00
365,582593400.00,00
366,582606250.00,01
367,582619100.00,00
368,582631950.00,00
369,582644800.00,00
370,582657600.00,00
371,582670450.00,00
372,582683300.00,4D
373,632004300.00,FF
374,632015250.00,FF
375,632026200.00,02
376,632037200.00,04
377,632048150.00,02
378,632059100.00,38
379,632150850.00,11
380,632255550.00,AE
381,632313950.00,FF
382,632326800.00,FF
383,632339600.00,02
384,632352450.00,13
385,632365300.00,00
386,632379100.00,00
387,632391950.00,00
388,632404800.00,00
389,632417650.00,00
390,632430450.00,20
391,632443300.00,04
392,632456150.00,78
393,632469000.00,00
394,632481800.00,00
395,632494650.00,00
396,632507500.00,00
397,632520350.00,01
398,632533200.00,00
399,632546000.00,00
400,632558850.00,00
401,632571700.00,00
402,632584550.00,00
403,632597400.00,4D
404,682360400.00,FF
405,682371350.00,FF
406,682382300.00,02
407,682393250.00,04
408,682404200.00,02
409,682415200.00,38
410,682503850.00,11
411,682605500.00,AE
412,682643050.00,FF
413,682655900.00,FF
414,682668750.00,02
415,682681550.00,13
416,682694400.00,00
417,682707250.00,00
418,682720100.00,00
419,682732950.00,00
420,682745750.00,00
421,682758600.00,20
422,682771450.00,04
423,682784300.00,78
424,682797100.00,00
425,682809950.00,00
426,682822800.00,00
427,682835650.00,00
428,682848500.00,01
429,682861300.00,00
430,682874150.00,00
431,682887000.00,00
432,682899850.00,00
433,682912650.00,00
434,682925500.00,4D
435,732212100.00,FF
436,732223050.00,FF
437,732234050.00,02
438,732245000.00,04
439,732255950.00,02
440,732266950.00,38
441,732359650.00,11
442,732489200.00,AE
443,732545900.00,FF
444,732558700.00,FF
445,732571550.00,02
446,732584400.00,13
447,732597250.00,00
448,732610050.00,00
449,732622900.00,00
450,732635750.00,00
451,732648600.00,00
452,732661400.00,20
453,732674250.00,04
454,732687100.00,78
455,732699950.00,00
456,732712750.00,00
457,732725600.00,00
458,732738450.00,00
459,732751300.00,01
460,732764150.00,00
461,732776950.00,00
462,732789800.00,00
463,732802650.00,00
464,732815500.00,00
465,732828300.00,4D
466,771075450.00,00
467,782350250.00,FF
468,782361200.00,FF
469,782372150.00,02
470,782383150.00,04
471,782394100.00,02
472,782405050.00,38
473,782534600.00,11
474,782737900.00,AE
475,782796000.00,FF
476,782808850.00,FF
477,782821700.00,02
478,782834500.00,13
479,782847350.00,00
480,782860200.00,00
481,782873050.00,00
482,782885900.00,00
483,782898700.00,00
484,782911550.00,20
485,782924400.00,04
486,782937250.00,78
487,782950100.00,00
488,782962900.00,00
489,782975750.00,00
490,782988600.00,00
491,783001450.00,01
492,783014300.00,00
493,783027100.00,00
494,783039950.00,00
495,783052800.00,00
496,783065650.00,00
497,783078500.00,4D
498,832562250.00,FF
499,832573200.00,FF
500,832584150.00,02
501,832595150.00,04
502,832606100.00,02
503,832617050.00,38
504,832716700.00,11
505,832816400.00,AE
506,832874700.00,FF
507,832887550.00,FF
508,832900400.00,02
509,832913250.00,13
510,832926050.00,00
511,832938900.00,00
512,832951750.00,00
513,832964600.00,00
514,832977400.00,00
515,832990250.00,20
516,833003100.00,04
517,833015950.00,78
518,833028750.00,00
519,833041600.00,00
520,833054450.00,00
521,833067300.00,00
522,833080100.00,01
523,833092950.00,00
524,833105800.00,00
525,833118650.00,00
526,833131450.00,00
527,833144300.00,00
528,833157150.00,4D
529,882117100.00,FF
530,882128050.00,FF
531,882139050.00,02
532,882150000.00,04
533,882160950.00,02
534,882171900.00,38
535,882236700.00,11
536,882366200.00,AE
537,882401900.00,FF
538,882414750.00,FF
539,882427600.00,02
540,882440450.00,13
541,882453250.00,00
542,882466100.00,00
543,882478950.00,00
544,882491800.00,00
545,882504650.00,00
546,882517450.00,20
547,882530300.00,04
548,882543150.00,78
549,882556000.00,00
550,882568850.00,00
551,882581700.00,00
552,882594500.00,00
553,882607350.00,01
554,882620200.00,00
555,882633050.00,00
556,882645900.00,00
557,882658700.00,00
558,882671550.00,00
559,882684400.00,4D
560,931783600.00,FF
561,931794550.00,FF
562,931805550.00,02
563,931816500.00,04
564,931827450.00,02
565,931838400.00,38
566,931956000.00,11
567,932105450.00,AE
568,932163150.00,FF
569,932176000.00,FF
570,932188850.00,02
571,932201700.00,13
572,932214500.00,00
573,932227350.00,00
574,932240200.00,00
575,932253050.00,00
576,932265850.00,00
577,932278700.00,20
578,932291550.00,04
579,932304400.00,78
580,932317200.00,00
581,932330050.00,00
582,932342900.00,00
583,932355750.00,00
584,932368550.00,01
585,932381400.00,00
586,932394250.00,00
587,932407100.00,00
588,932419950.00,00
589,932432750.00,00
590,932445600.00,4D
591,981736800.00,FF
592,981747750.00,FF
593,981758750.00,02
594,981769700.00,04
595,981780650.00,02
596,981791600.00,38
597,981884300.00,11
598,982013850.00,AE
599,982070950.00,FF
600,982083800.00,FF
601,982096600.00,02
602,982109450.00,13
603,982122300.00,00
604,982135150.00,00
605,982147950.00,00
606,982160800.00,00
607,982173650.00,00
608,982186500.00,20
609,982199300.00,04
610,982212150.00,78
611,982225000.00,00
612,982237850.00,00
613,982250700.00,00
614,982263500.00,00
615,982276350.00,01
616,982289200.00,00
617,982302050.00,00
618,982314850.00,00
619,982327700.00,00
620,982340550.00,00
621,982353400.00,4D
