Id,Time[ns],0:UART: RX/TX
309,486578200.00,00
310,486588100.00,00
311,486598050.00,F2
312,536121300.00,FF
313,536132300.00,FF
314,536143250.00,07
315,536154200.00,04
316,536165150.00,02
317,536176100.00,38
318,536280700.00,11
319,536382300.00,A9
320,536426050.00,FF
321,536436000.00,FF
322,536445950.00,07
323,536455850.00,13
324,536465800.00,00
325,536475750.00,A5
326,536485650.00,08
327,536495600.00,00
328,536505550.00,00
329,536515450.00,00
330,536525400.00,00
331,536535350.00,76
332,536545250.00,1F
333,536555200.00,00
334,536565150.00,00
335,536575100.00,00
336,536585000.00,A5
337,536594950.00,08
338,536604900.00,00
339,536614800.00,00
340,536624750.00,00
341,536634700.00,00
342,536644600.00,F6
343,586116300.00,FF
344,586127250.00,FF
345,586138200.00,07
346,586149200.00,04
347,586160150.00,02
348,586171100.00,38
349,586289700.00,11
350,586473000.00,A9
351,586517950.00,FF
352,586527900.00,FF
353,586537800.00,07
354,586547750.00,13
355,586557650.00,00
356,586567600.00,A5
357,586577550.00,08
358,586587500.00,00
359,586597400.00,00
360,586607350.00,00
361,586617300.00,00
362,586627200.00,7A
363,586637150.00,1F
364,586647100.00,00
365,586657000.00,00
366,586666950.00,00
367,586676900.00,A5
368,586686850.00,08
369,586696750.00,00
370,586706700.00,00
371,586716650.00,00
372,586726550.00,00
373,586736500.00,F2
374,635994950.00,FF
375,636005900.00,FF
376,636016900.00,07
377,636027850.00,04
378,636038800.00,02
379,636049800.00,38
380,636129600.00,11
381,636241250.00,A9
382,636286900.00,FF
383,636296850.00,FF
384,636306750.00,07
385,636316700.00,13
386,636326600.00,00
387,636336550.00,A5
388,636346500.00,08
389,636356400.00,00
390,636366350.00,00
391,636376300.00,00
392,636386200.00,00
393,636396150.00,7A
394,636406100.00,1F
395,636416000.00,00
396,636425950.00,00
397,636435900.00,00
398,636445800.00,A5
399,636455750.00,08
400,636465700.00,00
401,636475600.00,00
402,636485550.00,00
403,636495500.00,00
404,636505400.00,F2
405,686374650.00,FF
406,686385600.00,FF
407,686396550.00,07
408,686407550.00,04
409,686418500.00,02
410,686429450.00,38
411,686511200.00,11
412,686615850.00,A9
413,686658300.00,FF
414,686668200.00,FF
415,686678150.00,07
416,686688050.00,13
417,686698000.00,00
418,686707950.00,A5
419,686717850.00,08
420,686727800.00,00
421,686737700.00,00
422,686747650.00,00
423,686757600.00,00
424,686767500.00,7A
425,686777450.00,1F
426,686787400.00,00
427,686797300.00,00
428,686807250.00,00
429,686817200.00,A5
430,686827100.00,08
431,686837050.00,00
432,686847000.00,00
433,686856900.00,00
434,686866850.00,00
435,686876750.00,F2
436,736339350.00,FF
437,736350300.00,FF
438,736361250.00,07
439,736372200.00,04
440,736383200.00,02
441,736394150.00,38
442,736494800.00,11
443,736626350.00,A9
444,736672550.00,FF
445,736682500.00,FF
446,736692400.00,07
447,736702350.00,13
448,736712250.00,00
449,736722200.00,A5
450,736732150.00,08
451,736742050.00,00
452,736752000.00,00
453,736761950.00,00
454,736771850.00,00
455,736781800.00,7A
456,736791750.00,1F
457,736801650.00,00
