Id,Time[ns],0:UART: RX/TX
309,591343700.00,04
310,591354750.00,02
311,591365750.00,00
312,591386800.00,09
313,591468950.00,EF
314,591524250.00,FF
315,591537100.00,FF
316,591549950.00,01
317,591562800.00,0B
318,591575650.00,00
319,591588500.00,03
320,591601350.00,0A
321,591614200.00,00
322,591627050.00,09
323,591639900.00,03
324,591652750.00,01
325,591665600.00,00
326,591678500.00,00
327,591691350.00,01
328,591704200.00,D8
329,596031600.00,FF
330,596042600.00,FF
331,596053650.00,02
332,596064650.00,04
333,596075650.00,02
334,596086700.00,00
335,596106750.00,09
336,596164800.00,EE
337,636936600.00,02
338,636947650.00,03
339,636958650.00,00
340,636969700.00,00
341,636980700.00,00
342,636991700.00,04
343,637002750.00,44
344,637013750.00,3A
345,669983050.00,FF
346,669994100.00,FF
347,670005100.00,03
348,670016100.00,04
349,670027100.00,02
350,670040150.00,00
351,670052150.00,09
352,670108250.00,ED
353,699670100.00,03
354,699681100.00,03
355,699692100.00,00
356,699703100.00,00
357,699714150.00,00
358,699725150.00,04
359,699736200.00,45
360,699747200.00,EB
361,732261550.00,FF
362,732272550.00,FF
363,732283550.00,04
364,732294600.00,04
365,732305600.00,02
366,732316600.00,00
367,732340650.00,09
368,732463800.00,EC
369,760971000.00,04
370,760982050.00,03
371,760993050.00,00
372,761004050.00,00
373,761015100.00,00
374,761026100.00,04
375,761037150.00,44
376,761048150.00,5C
377,792012050.00,FF
378,792023050.00,FF
379,792034100.00,05
380,792045100.00,04
381,792056100.00,02
382,792067150.00,00
383,792097200.00,09
384,792177300.00,EB
385,823018300.00,05
386,823029300.00,03
387,823040300.00,00
388,823051350.00,00
389,823062350.00,00
390,823073400.00,04
391,823084400.00,45
392,823095400.00,8D
393,855274550.00,FF
394,855285600.00,FF
395,855297600.00,06
396,855308600.00,04
397,855319650.00,02
398,855330650.00,00
399,855466900.00,09
400,855538000.00,EA
401,862412800.00,00
402,884600350.00,06
403,884611350.00,03
404,884622350.00,00
405,884633400.00,00
406,884644400.00,00
407,884655450.00,04
408,884666450.00,45
409,884677500.00,BE
410,918308150.00,FF
411,918319150.00,FF
412,918330200.00,07
413,918342200.00,04
414,918353250.00,02
415,918364250.00,00
416,918390300.00,09
417,918472500.00,E9
418,946631450.00,07
419,946642450.00,03
420,946653500.00,00
421,946664500.00,00
422,946675550.00,00
423,946686550.00,04
424,946697550.00,44
425,946708600.00,6F
426,978471800.00,FF
427,978482800.00,FF
428,978493800.00,08
429,978504800.00,04
430,978515850.00,02
431,978526850.00,00
432,978543850.00,09
433,978610000.00,E8
