Id,Time[ns],0:UART: RX/TX
1,26294400.00,FF
2,26305450.00,FF
3,26316450.00,01
4,26327500.00,04
5,26338500.00,02
6,26349550.00,38
7,26411650.00,11
8,26478800.00,AF
9,26535550.00,FF
10,26548400.00,FF
11,26561250.00,01
12,26574100.00,13
13,26586950.00,00
14,26599800.00,21
15,26612650.00,0B
16,26625500.00,00
17,26638350.00,80
18,26651250.00,22
19,26664100.00,04
20,26676950.00,2E
21,26689800.00,00
22,26702650.00,00
23,26715500.00,00
24,26728350.00,01
25,26741200.00,32
26,26754050.00,0B
27,26766900.00,00
28,26779800.00,00
29,26792650.00,00
30,26805500.00,00
31,26818350.00,AD
32,76071600.00,FF
33,76082600.00,FF
34,76093600.00,01
35,76104650.00,04
36,76115650.00,02
37,76126700.00,38
38,76227850.00,11
39,76324000.00,AF
40,76380750.00,FF
41,76393600.00,FF
42,76406450.00,01
43,76419300.00,13
44,76432150.00,00
45,76445000.00,21
46,76457850.00,0B
47,76470750.00,00
48,76483550.00,80
49,76496450.00,27
50,76509300.00,04
51,76522150.00,2E
52,76535000.00,00
53,76547850.00,00
54,76560700.00,00
55,76573550.00,01
56,76586400.00,32
57,76599250.00,0B
58,76612100.00,00
59,76624950.00,00
60,76637800.00,00
61,76650650.00,00
62,76663500.00,A8
63,126550350.00,FF
64,126561400.00,FF
65,126572400.00,01
66,126583400.00,04
67,126594450.00,02
68,126605450.00,38
69,126628500.00,11
70,126721700.00,AF
71,126780250.00,FF
72,126793100.00,FF
73,126805950.00,01
74,126818800.00,13
75,126831650.00,00
76,126844500.00,21
77,126857350.00,0B
78,126870200.00,00
79,126883050.00,80
80,126895950.00,2C
81,126908800.00,04
82,126921650.00,2E
83,126934500.00,00
84,126947350.00,00
85,126960200.00,00
86,126973050.00,01
87,126985900.00,32
88,126998750.00,0B
89,127011650.00,00
90,127024500.00,00
91,127037350.00,00
92,127050200.00,00
93,127063050.00,A3
94,165683200.00,00
95,176495000.00,FF
96,176506050.00,FF
97,176517050.00,01
98,176528050.00,04
99,176539100.00,02
100,176550100.00,38
101,176581150.00,11
102,176642200.00,AF
103,176678100.00,FF
104,176691000.00,FF
105,176703850.00,01
106,176716700.00,13
107,176729550.00,00
108,176742400.00,21
109,176755250.00,0B
110,176768100.00,00
111,176780950.00,80
112,176793800.00,32
113,176806650.00,04
114,176819500.00,2E
115,176832400.00,00
116,176845250.00,00
117,176858100.00,00
118,176870950.00,01
119,176883800.00,32
120,176896650.00,0B
121,176909500.00,00
122,176922350.00,00
123,176935200.00,00
124,176948050.00,00
125,176960900.00,9D
126,225892700.00,FF
127,225903700.00,FF
128,225914750.00,01
129,225925750.00,04
130,225936750.00,02
131,225947800.00,38
132,226041950.00,11
133,226100050.00,AF
134,226158500.00,FF
135,226171350.00,FF
136,226184200.00,01
137,226197050.00,13
138,226209900.00,00
139,226222750.00,21
140,226235600.00,0B
141,226248500.00,00
142,226261350.00,80
143,226274200.00,37
144,226287050.00,04
145,226299900.00,2E
146,226312750.00,00
147,226325600.00,00
148,226338450.00,00
149,226351300.00,01
150,226364150.00,32
151,226377000.00,0B
152,226389850.00,00
153,226402700.00,00
154,226415550.00,00
155,226428400.00,00
156,226441250.00,98
157,276261900.00,FF
158,276272900.00,FF
159,276283950.00,01
160,276294950.00,04
161,276305950.00,02
162,276317000.00,38
163,276413150.00,11
164,276508300.00,AF
165,276565850.00,FF
166,276578700.00,FF
167,276591550.00,01
168,276604400.00,13
169,276617250.00,00
170,276630100.00,21
171,276642950.00,0B
172,276655800.00,00
173,276668700.00,80
174,276681550.00,3C
175,276694400.00,04
176,276707250.00,2E
177,276720100.00,00
178,276732950.00,00
179,276745800.00,00
180,276758650.00,01
181,276771500.00,32
182,276784350.00,0B
183,276797200.00,00
184,276810050.00,00
185,276822900.00,00
186,276835750.00,00
187,276848600.00,93
188,326144950.00,FF
189,326156000.00,FF
190,326167000.00,01
191,326178050.00,04
192,326189050.00,02
193,326200100.00,38
194,326298300.00,11
195,326414550.00,AF
196,326471350.00,FF
197,326484200.00,FF
198,326497050.00,01
199,326509900.00,13
200,326522750.00,00
201,326535600.00,21
202,326548450.00,0B
203,326561300.00,00
204,326574200.00,80
205,326587000.00,41
206,326599900.00,04
207,326612750.00,2E
208,326625550.00,00
209,326638400.00,00
210,326651250.00,00
211,326664100.00,01
212,326677000.00,32
213,326689850.00,0B
214,326702700.00,00
215,326715550.00,00
216,326728400.00,00
217,326741250.00,00
218,326754100.00,8E
219,376242050.00,FF
220,376253050.00,FF
221,376264100.00,01
222,376275100.00,04
223,376286150.00,02
224,376297150.00,38
225,376308200.00,11
226,376415400.00,AF
227,376452100.00,FF
228,376464950.00,FF
229,376477800.00,01
230,376490650.00,13
231,376503500.00,00
232,376516350.00,21
233,376529200.00,0B
234,376542050.00,00
235,376554900.00,80
236,376567750.00,46
237,376580600.00,04
238,376593450.00,2E
239,376606300.00,00
240,376619150.00,00
241,376632000.00,00
242,376644850.00,01
243,376657700.00,32
244,376670550.00,0B
245,376683400.00,00
246,376696250.00,00
247,376709100.00,00
248,376721950.00,00
249,376734800.00,89
250,425804400.00,FF
251,425815400.00,FF
252,425826450.00,01
253,425837450.00,04
254,425848500.00,02
255,425859500.00,38
256,426009800.00,11
257,426071900.00,AF
258,426129100.00,FF
259,426141950.00,FF
260,426154800.00,01
261,426167650.00,13
262,426180500.00,00
263,426193400.00,21
264,426206250.00,0B
265,426219100.00,00
266,426231950.00,80
267,426244800.00,4B
268,426257650.00,04
269,426270500.00,2E
270,426283350.00,00
271,426296200.00,00
272,426309050.00,00
273,426321900.00,01
274,426334750.00,32
275,426347600.00,0B
276,426360450.00,00
