Id,Time[ns],0:UART: RX/TX
309,457137950.00,00
310,457147900.00,E2
311,506526600.00,FF
312,506537600.00,FF
313,506548550.00,03
314,506559550.00,04
315,506570500.00,02
316,506581450.00,38
317,506672150.00,11
318,506736900.00,AD
319,506779650.00,FF
320,506789600.00,FF
321,506799550.00,03
322,506809500.00,13
323,506819450.00,00
324,506829400.00,6F
325,506839350.00,07
326,506849300.00,00
327,506859300.00,00
328,506869250.00,00
329,506879200.00,00
330,506889150.00,7A
331,506899100.00,00
332,506909050.00,00
333,506919000.00,00
334,506928950.00,00
335,506938900.00,6F
336,506948850.00,07
337,506958800.00,9F
338,506968800.00,03
339,506978750.00,00
340,506988700.00,00
341,506998650.00,E1
342,557120050.00,FF
343,557131000.00,FF
344,557142000.00,03
345,557152950.00,04
346,557163900.00,02
347,557174850.00,38
348,557295400.00,11
349,557353200.00,AD
350,557396900.00,FF
351,557406850.00,FF
352,557416800.00,03
353,557426750.00,13
354,557436700.00,00
355,557446650.00,6F
356,557456600.00,07
357,557466550.00,00
358,557476550.00,00
359,557486500.00,00
360,557496450.00,00
361,557506400.00,7A
362,557516350.00,00
363,557526300.00,00
364,557536250.00,00
365,557546200.00,00
366,557556150.00,6F
367,557566100.00,07
368,557576050.00,9F
369,557586050.00,03
370,557596000.00,00
371,557605950.00,00
372,557615900.00,E1
373,606617750.00,FF
374,606628700.00,FF
375,606639650.00,03
376,606650650.00,04
377,606661600.00,02
378,606672550.00,38
379,606689500.00,11
380,606803100.00,AD
381,606845600.00,FF
382,606855550.00,FF
383,606865500.00,03
384,606875450.00,13
385,606885400.00,00
386,606895350.00,6F
387,606905350.00,07
388,606915300.00,00
389,606925250.00,00
390,606935200.00,00
391,606945150.00,00
392,606955100.00,7A
393,606965050.00,00
394,606975000.00,00
395,606984950.00,00
396,606994950.00,00
397,607004900.00,6F
398,607014850.00,07
399,607024800.00,9F
400,607034750.00,03
401,607044700.00,00
402,607054650.00,00
403,607064650.00,E1
404,656693000.00,FF
405,656703950.00,FF
406,656714900.00,03
407,656725900.00,04
408,656736850.00,02
409,656747800.00,38
410,656859450.00,11
411,656919250.00,AD
412,656964600.00,FF
413,656974550.00,FF
414,656984500.00,03
415,656994450.00,13
416,657004450.00,00
417,657014400.00,6F
418,657024350.00,07
419,657034300.00,00
420,657044250.00,00
421,657054200.00,00
422,657064200.00,00
423,657074150.00,7A
424,657084100.00,00
425,657094050.00,00
426,657104000.00,00
427,657113950.00,00
428,657123950.00,6F
429,657133900.00,07
430,657143850.00,A0
431,657153800.00,03
432,657163750.00,00
433,657173700.00,00
434,657183700.00,E0
435,707317900.00,FF
436,707328900.00,FF
437,707339850.00,03
438,707350800.00,04
439,707361750.00,02
440,707372750.00,38
441,707450450.00,11
442,707514250.00,AD
443,707559800.00,FF
444,707569750.00,FF
445,707579700.00,03
446,707589650.00,13
447,707599600.00,00
448,707609550.00,6F
449,707619550.00,07
450,707629500.00,00
451,707639450.00,00
452,707649400.00,00
453,707659350.00,00
454,707669300.00,7A
455,707679250.00,00
456,707689200.00,00
457,707699200.00,00
458,707709150.00,00
459,707719100.00,6F
460,707729050.00,07
461,707739000.00,A0
462,707748950.00,03
463,707758900.00,00
464,707768900.00,00
465,707778850.00,E0
466,756692900.00,FF
467,756703850.00,FF
468,756714800.00,03
469,756725800.00,04
470,756736750.00,02
471,756747700.00,38
472,756800550.00,11
473,756907200.00,AD
474,756949750.00,FF
475,756959750.00,FF
476,756969700.00,03
477,756979650.00,13
478,756989600.00,00
479,756999550.00,6F
480,757009500.00,07
481,757019450.00,00
482,757029400.00,00
483,757039400.00,00
484,757049350.00,00
485,757059300.00,7A
486,757069250.00,00
487,757079200.00,00
488,757089150.00,00
489,757099100.00,00
490,757109050.00,6F
491,757119050.00,07
492,757129000.00,A1
493,757138950.00,03
494,757148900.00,00
495,757158850.00,00
496,757168800.00,DF
497,806589900.00,FF
498,806600900.00,FF
499,806611850.00,03
500,806622800.00,04
501,806633800.00,02
502,806644750.00,38
503,806740450.00,11
504,806874000.00,AD
505,806917150.00,FF
506,806927100.00,FF
507,806937050.00,03
508,806947050.00,13
509,806957000.00,00
510,806966950.00,6F
511,806976900.00,07
512,806986850.00,00
513,806996800.00,00
514,807006750.00,00
515,807016700.00,00
516,807026650.00,7A
517,807036650.00,00
518,807046600.00,00
519,807056550.00,00
520,807066500.00,00
521,807076450.00,6F
522,807086400.00,07
523,807096400.00,A0
524,807106350.00,03
525,807116300.00,00
526,807126250.00,00
527,807136200.00,E0
528,814899200.00,00
529,856421450.00,FF
530,856432450.00,FF
531,856443400.00,03
532,856454350.00,04
533,856465350.00,02
534,856476300.00,38
535,856623800.00,11
536,856776350.00,AD
537,856825300.00,FF
538,856835250.00,FF
539,856845200.00,03
540,856855150.00,13
541,856865100.00,00
542,856875050.00,6F
543,856885000.00,07
544,856894950.00,00
545,856904950.00,00
546,856914900.00,00
547,856924850.00,00
548,856934800.00,7A
549,856944750.00,00
550,856954700.00,00
551,856964650.00,00
552,856974650.00,00
553,856984600.00,6F
554,856994550.00,07
555,857004500.00,A2
556,857014450.00,03
557,857024400.00,00
558,857034400.00,00
559,857044350.00,DE
560,907023250.00,FF
561,907034200.00,FF
562,907045150.00,03
563,907056100.00,04
564,907067050.00,02
565,907078000.00,38
566,907121850.00,11
567,907250450.00,AD
568,907292800.00,FF
569,907302750.00,FF
570,907312700.00,03
571,907322650.00,13
572,907332600.00,00
573,907342600.00,6F
574,907352550.00,07
575,907362500.00,00
576,907372450.00,00
577,907382400.00,00
578,907392350.00,00
579,907402350.00,7A
580,907412300.00,00
581,907422250.00,00
582,907432200.00,00
583,907442150.00,00
584,907452100.00,6F
585,907462050.00,07
586,907472000.00,A1
587,907482000.00,03
588,907491950.00,00
589,907501900.00,00
590,907511850.00,DF
591,956672400.00,FF
592,956683350.00,FF
593,956694300.00,03
594,956705250.00,04
